title,author,year,journal,doi,abstract,rejected_by_title_screening,reason_for_title_screening
A comprehensive simulation framework for predicting the eCLIPs implant crimping into a catheter and its deployment mechanisms,Jahandardoost M.; Ricci D.; Milani A.S.; Jahandardoost M.; Grecov D.,2024,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2023.106227,"Tubular flow diverters (FDs) represent an important subset of the endovascular treatment of cerebral aneurysms (CAs), acting to reduce aneurysm inflow, eventually resulting in aneurysm thrombosis and occlusion. eCLIPs (product of Evasc Neurovascular Enterprises, Vancouver, Canada), an innovative non-tubular implant causes flow diversion by bridging the neck of bifurcation CAs. However, in a small subset of challenging bifurcation aneurysms with fusiform pathology, the currently available eCLIPs models do not provide sufficient neck bridging resulting in a gap created between the device structure and the aneurysm/artery wall. To overcome this challenge, a new design of the eCLIPs (VR-eCLIPs) was developed by varying the rib length to cover such an inflow gap. To optimize the new product development process, and avoiding expensive and time-consuming iterative manufacture of prototype devices, we have developed a new finite element model to simulate the crimping and expansion processes of the VR-eCLIPs implant, and assess the possibility of plastic deformation. Results indicated that neither eCLIPs nor VR-eCLIPs experience plastic deformation during the crimping process. Upon full expansion, the ribs of VR-eCLIPs interact with the aneurysm and artery wall to cover the inflow gap that exists in certain challenging anatomies. This process serves as a basis to expedite design development prior to prototype manufacturing. © 2023 Elsevier Ltd",FALSE,
3D-Guided Face Manipulation of 2D Images for the Prediction of Post-Operative Outcome after Cranio-Maxillofacial Surgery,Andlauer R.; Wachter A.; Schaufelberger M.; Weichel F.; Kuhle R.; Freudlsperger C.; Nahm W.,2021,IEEE Transactions on Image Processing,10.1109/TIP.2021.3096081,"Cranio-maxillofacial surgery often alters the aesthetics of the face which can be a heavy burden for patients to decide whether or not to undergo surgery. Today, physicians can predict the post-operative face using surgery planning tools to support the patient's decision-making. While these planning tools allow a simulation of the post-operative face, the facial texture must usually be captured by another 3D texture scan and subsequently mapped on the simulated face. This approach often results in face predictions that do not appear realistic or lively looking and are therefore ill-suited to guide the patient's decision-making. Instead, we propose a method using a generative adversarial network to modify a facial image according to a 3D soft-tissue estimation of the post-operative face. To circumvent the lack of available data pairs between pre- and post-operative measurements we propose a semi-supervised training strategy using cycle losses that only requires paired open-source data of images and 3D surfaces of the face's shape. After training on 'in-the-wild' images we show that our model can realistically manipulate local regions of a face in a 2D image based on a modified 3D shape. We then test our model on four clinical examples where we predict the post-operative face according to a 3D soft-tissue prediction of surgery outcome, which was simulated by a surgery planning tool. As a result, we aim to demonstrate the potential of our approach to predict realistic post-operative images of faces without the need of paired clinical data, physical models, or 3D texture scans. © 2021 IEEE.",FALSE,
SERV-CT: A disparity dataset from cone-beam CT for validation of endoscopic 3D reconstruction,Edwards P.J.E.; Psychogyios D.; Speidel S.; Maier-Hein L.; Stoyanov D.,2022,Medical Image Analysis,10.1016/j.media.2021.102302,"In computer vision, reference datasets from simulation and real outdoor scenes have been highly successful in promoting algorithmic development in stereo reconstruction. Endoscopic stereo reconstruction for surgical scenes gives rise to specific problems, including the lack of clear corner features, highly specular surface properties and the presence of blood and smoke. These issues present difficulties for both stereo reconstruction itself and also for standardised dataset production. Previous datasets have been produced using computed tomography (CT) or structured light reconstruction on phantom or ex vivo models. We present a stereo-endoscopic reconstruction validation dataset based on cone-beam CT (SERV-CT). Two ex vivo small porcine full torso cadavers were placed within the view of the endoscope with both the endoscope and target anatomy visible in the CT scan. Subsequent orientation of the endoscope was manually aligned to match the stereoscopic view and benchmark disparities, depths and occlusions are calculated. The requirement of a CT scan limited the number of stereo pairs to 8 from each ex vivo sample. For the second sample an RGB surface was acquired to aid alignment of smooth, featureless surfaces. Repeated manual alignments showed an RMS disparity accuracy of around 2 pixels and a depth accuracy of about 2 mm. A simplified reference dataset is provided consisting of endoscope image pairs with corresponding calibration, disparities, depths and occlusions covering the majority of the endoscopic image and a range of tissue types, including smooth specular surfaces, as well as significant variation of depth. We assessed the performance of various stereo algorithms from online available repositories. There is a significant variation between algorithms, highlighting some of the challenges of surgical endoscopic images. The SERV-CT dataset provides an easy to use stereoscopic validation for surgical applications with smooth reference disparities and depths covering the majority of the endoscopic image. This complements existing resources well and we hope will aid the development of surgical endoscopic anatomical reconstruction algorithms. © 2021 The Authors",FALSE,
Cosmetic outcome assessment following breast-conserving therapy: a comparison between BCCT. core software and panel evaluation,"Haloua, Max Hendrik and Krekel, Nicole Marianna Alexandra and Jacobs, Gerrit Johannes Albertus and Zonderhuis, Barbara and Bouman, Mark-Bram and Buncamper, Marlon Eug{\`e}ne and Niessen, Franciscus Bernardus and Winters, Henri Adolf Hubert and Terwee, Caroline and Meijer, Sybren and others",2014,International journal of breast cancer,Wiley Online Library,"Breast-conserving therapy (BCT) is a standard treatment for early breast cancer. Cosmetic outcome is an important endpoint after BCT, and its assessment is often performed by a panel of experts. Recently, the BCCT.core software was developed to provide an objective and reproducible evaluation of cosmetic results. This study aimed to compare the cosmetic outcome assessment following BCT using the BCCT.core software and a panel evaluation. A total of 51 patients who underwent BCT were included. Standardized photographs were taken and evaluated by a panel of five experts and by the BCCT.core software. The agreement between the two methods was analyzed using weighted kappa statistics. The results showed a moderate agreement between the BCCT.core software and the panel evaluation (weighted kappa = 0.44). The BCCT.core software tended to rate cosmetic outcomes more conservatively compared to the panel. The study concludes that the BCCT.core software provides a reliable and objective assessment of cosmetic outcomes after BCT and can be used as a complementary tool to panel evaluation.",FALSE,
A method for assessing guide layout and error on implant accuracy,Xu L.; Tian X.; Wu J.,2024,Computers in Biology and Medicine,10.1016/j.compbiomed.2024.108824,"Functional and esthetic results require accurate implant placement. We aimed to develop a predictive method for assessing guide layout and error on implant accuracy. A mathematical model for position error analysis was constructed based on triangular mesh data. This model examines the relationship between the spatial shifts of multiple surfaces and the spatial shifts of specific points. It involves encasing these surfaces in a cuboid bounding box and expressing them in a local coordinate system. The influence of positioning surface error and layout of surgical guide were researched with a simulation test. The result shows that error in the implant site position is directly related to the error in the guide locating surface under the same layout. When the guide locating surface layout varies, as the length, width, and height of the minimum cuboid envelope increase, the maximum deviation in the implant site position decreases. © 2024 Elsevier Ltd",FALSE,
Design and development of model eye for retina laser by using additive manufacturing,Pugalendhi A.; Ranganathan R.; Venkatapathy N.; Narendran K.; Shah P.K.,2021,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",10.1177/0954411920960548,"Surgical skill of the surgeon can be improved by surgical simulation. Especially in ophthalmology, it is impossible to use real human/non-human primate eyes for ophthalmology surgery practice. However, surgical practice is most important for ophthalmologist. The retina laser surgery is one of the ophthalmology surgeries and it requires more surgical practice for surgeons to use the laser beam precisely to coagulate and fuse small areas of tissue. Dealing with the prospect of vision reduction or vision loss presents a peculiar problem and that can be highly stressful and frustrating for both doctors and patients. In this regard, training for indirect ophthalmoscopy and retinal photocoagulation is undergone using model eyes instead of real eyes. Properties and functioning of an existing model eye are huge and they differ from real human eye such as casings are completely rigid and focusing of retinal fundus is not completely covered. Therefore, this research concentrates to develop a model eye that assimilates close to the human eye by focussing on the maximum viewing area that is not done at the moment. Finally, the design and development of re-engineered model eye for retina laser is fabricated by additive manufacturing. Compared to existing plastic model eye, viewing area and viewing angle of the re-engineered model eye is increased by 16.66% and 6.14%, respectively. Due to design modifications and elimination of the insert, it can be reduced by 18.99% and 13.95% of height and weight of the top casing respectively. Developed re-engineered model eye will improve the surgical and diagnostic skill of the surgeon and increase their confidence and proficiency. It also augments the effective use of essential ophthalmic instruments. Additionally, it can reduce the surgical error and meet the existing demand of actual eyes for surgical practices. © IMechE 2020.",FALSE,
Analysis of In Vivo Skin Anisotropy Using Elastic Wave Measurements and Bayesian Modelling,Nagle M.; Price S.; Trotta A.; Destrade M.; Fop M.; Ní Annaidh A.,2023,Annals of Biomedical Engineering,10.1007/s10439-023-03185-2,"In vivo skin exhibits viscoelastic, hyper-elastic and non-linear characteristics. It is under a constant state of non-equibiaxial tension in its natural configuration and is reinforced with oriented collagen fibers, which gives rise to anisotropic behaviour. Understanding the complex mechanical behaviour of skin has relevance across many sectors including pharmaceuticals, cosmetics and surgery. However, there is a dearth of quality data characterizing the anisotropy of human skin in vivo. The data available in the literature is usually confined to limited population groups and/or limited angular resolution. Here, we used the speed of elastic waves travelling through the skin to obtain measurements from 78 volunteers ranging in age from 3 to 93 years old. Using a Bayesian framework allowed us to analyse the effect that age, gender and level of skin tension have on the skin anisotropy and stiffness. First, we propose a new measurement of anisotropy based on the eccentricity of angular data and conclude that it is a more robust measurement when compared to the classic “anisotropic ratio”. Our analysis then concluded that in vivo skin anisotropy increases logarithmically with age, while the skin stiffness increases linearly along the direction of Langer Lines. We also concluded that the gender does not significantly affect the level of skin anisotropy, but it does affect the overall stiffness, with males having stiffer skin on average. Finally, we found that the level of skin tension significantly affects both the anisotropy and stiffness measurements employed here. This indicates that elastic wave measurements may have promising applications in the determination of in vivo skin tension. In contrast to earlier studies, these results represent a comprehensive assessment of the variation of skin anisotropy with age and gender using a sizeable dataset and robust modern statistical analysis. This data has implications for the planning of surgical procedures and questions the adoption of universal cosmetic surgery practices for very young or elderly patients. © 2023, The Author(s).",FALSE,
kOBCS{\copyright}: a novel software calculator program of the Objective Breast Cosmesis Scale (OBCS),"Soror, Tamer and Lancellotta, Valentina and Kov{\'a}cs, Gy{\""o}rgy and Lanzotti, Vito and Tagliaferri, Luca and Cas{\`a}, Calogero and Aristei, Cynthia and Barberini, Francesco and Mahmoud, Mohamed and Badakhshi, Harun",2020,Breast Cancer,Springer,"Objective Breast Cosmesis Scale (OBCS) is a validated tool for the objective assessment of breast cosmesis after breast-conserving surgery. However, the calculation of the OBCS score is complicated and time-consuming. We developed a novel software calculator program, kOBCS©, to facilitate the calculation of the OBCS score. The kOBCS© program was developed using Microsoft Excel and Visual Basic for Applications. The program requires input of the four parameters of the OBCS: breast retraction assessment, nipple deviation, breast contour, and scar appearance. The program automatically calculates the total OBCS score and classifies the cosmetic outcome into excellent, good, fair, or poor. We tested the program using clinical data from 50 patients who underwent breast-conserving surgery. The kOBCS© program significantly reduced the time required for calculation compared to manual calculation (mean time 12.3 vs. 45.7 seconds, p < 0.001). The program showed perfect agreement with manual calculation (intraclass correlation coefficient = 1.0). The kOBCS© program is a user-friendly and reliable tool for the objective assessment of breast cosmesis, which can facilitate clinical and research applications of the OBCS.",FALSE,
Pilot Evaluation of Silicone Surrogates for Oral Mucosa Simulation in Craniofacial Surgical Training,Cin M.D.; Koka K.; Darragh J.; Nourmohammadi Z.; Hamdan U.; Zopf D.A.,2024,Biomimetics,10.3390/biomimetics9080464,"Surgical simulators are crucial in early craniofacial and plastic surgical training, necessitating synthetic materials that accurately replicate tissue properties. Recent critiques of our lab’s currently deployed silicone surrogate have highlighted numerous areas for improvement. To further refine our models, our group’s objective is to find a composition of materials that is closest in fidelity to native oral mucosa during surgical rehearsal by expert craniofacial surgeons. Fifteen platinum silicone-based surrogate samples were constructed with variable hardness and slacker percentages. These samples underwent evaluation of tactile sensation, hardness, needle puncture, cut resistance, suture retention, defect repair, and tensile elasticity. Expert craniofacial surgeon evaluators provided focused qualitative feedback on selected top-performing samples for further assessment and statistical comparisons. An evaluation revealed surrogate characteristics that were satisfactory and exhibited good performance. Sample 977 exhibited the highest performance, and comparison with the original surrogate (sample 810) demonstrated significant improvements in critical areas, emphasizing the efficacy of the refined composition. The study identified a silicone composition that directly addresses the feedback received by our team’s original silicone surrogate. The study underscores the delicate balance between biofidelity and practicality in surgical simulation. The need for ongoing refinement in surrogate materials is evident to optimize training experiences for early surgical learners. © 2024 by the authors.",FALSE,
Computational mechanobiology model evaluating healing of postoperative cavities following breast-conserving surgery,Harbin Z.; Sohutskay D.; Vanderlaan E.; Fontaine M.; Mendenhall C.; Fisher C.; Voytik-Harbin S.; Tepole A.B.,2023,Computers in Biology and Medicine,10.1016/j.compbiomed.2023.107342,"Breast cancer is the most commonly diagnosed cancer type worldwide. Given high survivorship, increased focus has been placed on long-term treatment outcomes and patient quality of life. While breast-conserving surgery (BCS) is the preferred treatment strategy for early-stage breast cancer, anticipated healing and breast deformation (cosmetic) outcomes weigh heavily on surgeon and patient selection between BCS and more aggressive mastectomy procedures. Unfortunately, surgical outcomes following BCS are difficult to predict, owing to the complexity of the tissue repair process and significant patient-to-patient variability. To overcome this challenge, we developed a predictive computational mechanobiological model that simulates breast healing and deformation following BCS. The coupled biochemical-biomechanical model incorporates multi-scale cell and tissue mechanics, including collagen deposition and remodeling, collagen-dependent cell migration and contractility, and tissue plastic deformation. Available human clinical data evaluating cavity contraction and histopathological data from an experimental porcine lumpectomy study were used for model calibration. The computational model was successfully fit to data by optimizing biochemical and mechanobiological parameters through Gaussian process surrogates. The calibrated model was then applied to define key mechanobiological parameters and relationships influencing healing and breast deformation outcomes. Variability in patient characteristics including cavity-to-breast volume percentage and breast composition were further evaluated to determine effects on cavity contraction and breast cosmetic outcomes, with simulation outcomes aligning well with previously reported human studies. The proposed model has the potential to assist surgeons and their patients in developing and discussing individualized treatment plans that lead to more satisfying post-surgical outcomes and improved quality of life. © 2023 Elsevier Ltd",FALSE,
A novel microsurgery robot mechanism with mechanical motion scalability for intraocular and reconstructive surgery,Yang U.-J.; Kim D.; Hwang M.; Kong D.; Kim J.; Nho Y.-H.; Lee W.; Kwon D.-S.,2021,International Journal of Medical Robotics and Computer Assisted Surgery,10.1002/rcs.2240,"Background: Intraocular surgery and reconstructive surgery are challenging microsurgery procedures that require two types of motion: precise motion and larger motion. To effectively perform the requisite motion using a robot, it is necessary to develop a manipulator that can adjust the scale of motion between precise motion and less precise, yet larger motion. Aims: In this paper, we propose a novel microsurgery robot using the dual delta structure (DDS) to mechanically scale the motion to seamlessly adjust between precise and larger motion. Materials & Methods: The DDS forms a lever mechanism that enables the motion scaling at the end-effector using two delta platforms. Seamless scale adjustment enables the robot to effectively perform various surgical moves. Results: A prototype robot system was developed to validate the effectiveness of the DDS. The experiment results in various scale settings validated the scaling mechanism of the DDS. Conclusion: Through a graphical simulation and measurement experiment, the robot's precision level and attainable workspace has been confirmed adequate for intraocular and reconstructive surgery. © 2021 John Wiley & Sons Ltd.",FALSE,
"Evaluation of in-house, haptic assisted surgical planning for virtual reduction of complex mandibular fractures",Nilsson J.; Nysjö F.; Nyström I.; Kämpe J.; Thor A.,2021,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-021-02353-w,"Purpose: The management of complex mandible fractures, i.e. severely comminuted or fractures of edentulous/atrophic mandibles, can be challenging. This is due to the three-dimensional loss of bone, which limits the possibility for accurate anatomic reduction. Virtual surgery planning (VSP) can provide improved accuracy and shorter operating times, but is often not employed for trauma cases because of time constraints and complex user interfaces limited to two-dimensional interaction with three-dimensional data. Methods: In this study, we evaluate the accuracy, precision, and time efficiency of the haptic assisted surgery planning system (HASP), an in-house VSP system that supports stereo graphics, six degrees-of-freedom input, and haptics to improve the surgical planning. Three operators performed planning in HASP on computed tomography (CT) and cone beam computed tomography (CBCT) images of a plastic skull model and on twelve retrospective cases with complex mandible fractures. Results: The results show an accuracy and reproducibility of less than 2 mm when using HASP for virtual fracture reduction, with an average planning time of 15 min including time for segmentation in the software BoneSplit. Conclusion: This study presents an in-house haptic assisted planning tool for cranio-maxillofacial surgery with high usability that can be used for preoperative planning and evaluation of complex mandible fractures. © 2021, The Author(s).",FALSE,
Customized reconstructive prosthesis design based on topological optimization to treat severe proximal tibia defect,Zhang A.; Chen H.; Liu Y.; Wu N.; Chen B.; Zhao X.; Han Q.; Wang J.,2021,Bio-Design and Manufacturing,10.1007/s42242-020-00102-7,"A novel reconstructive prosthesis was designed with topological optimization (TO) and a lattice structure to enhance biomechanical and biological properties in the proximal tibia. The biomechanical performance was validated through finite element analysis (FEA) and biomechanical tests. The tibia with inhomogeneous material properties was reconstructed according to computed tomography images, and different components were designed to simulate the operation. Minimum compliance TO subject to a volume fraction constraint combined with a graded lattice structure was utilized to redesign the prosthesis. FEA was performed to evaluate the mechanical performances of the tibia and implants after optimization, including stress, micromotion, and strain energy. The results were analyzed by paired-samples t tests, and p < 0.05 was considered significant. Biomechanical testing was used to verify the tibial stresses. Compared to the original group (OG), the TO group (TOG) exhibited lower stress on the stem, and the maximum von Mises stresses were 87.2 and 53.1 MPa, respectively, a 39.1% reduction (p < 0.05). Conversely, the stress and strain energy on the tibia increased in the TOG. The maximum von Mises stress values were 16.4 MPa in the OG and 22.9 MPa in the TOG with a 39.6% increase (p < 0.05), and the maximum SED value was 0.026 MPa in the OG and 0.042 MPa in the TOG, corresponding to an increase of 61.5% (p < 0.05). The maximum micromotions in the distal end of the stem were 135 μm in the OG and 68 μm in the TOG, almost a 50% reduction. The stress curves of the biomechanical test coincided well with the FEA results. The TO approach can effectively reduce the whole weight of the prosthesis and improve the biomechanical environment of the tibia. It could also pave the way for next-generation applications in orthopedics surgery. © 2020, Zhejiang University Press.",FALSE,
