title,author,year,journal,doi,abstract,rejected_by_title_screening,reason_for_title_screening
Efficient EndoNeRF reconstruction and its application for data-driven surgical simulation,Wang Y.; Gong B.; Long Y.; Fan S.H.; Dou Q.,2024,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-024-03114-1,"Purpose : The healthcare industry has a growing need for realistic modeling and efficient simulation of surgical scenes. With effective models of deformable surgical scenes, clinicians are able to conduct surgical planning and surgery training on scenarios close to real-world cases. However, a significant challenge in achieving such a goal is the scarcity of high-quality soft tissue models with accurate shapes and textures. To address this gap, we present a data-driven framework that leverages emerging neural radiance field technology to enable high-quality surgical reconstruction and explore its application for surgical simulations. Method : We first focus on developing a fast NeRF-based surgical scene 3D reconstruction approach that achieves state-of-the-art performance. This method can significantly outperform traditional 3D reconstruction methods, which have failed to capture large deformations and produce fine-grained shapes and textures. We then propose an automated creation pipeline of interactive surgical simulation environments through a closed mesh extraction algorithm. Results : Our experiments have validated the superior performance and efficiency of our proposed approach in surgical scene 3D reconstruction. We further utilize our reconstructed soft tissues to conduct FEM and MPM simulations, showcasing the practical application of our method in data-driven surgical simulations. Conclusion : We have proposed a novel NeRF-based reconstruction framework with an emphasis on simulation purposes. Our reconstruction framework facilitates the efficient creation of high-quality surgical soft tissue 3D models. With multiple soft tissue simulations demonstrated, we show that our work has the potential to benefit downstream clinical tasks, such as surgical education. © The Author(s) 2024.",TRUE,"Focuses on surgical simulation, not outcome prediction or evaluation."
Anomaly Detection via Progressive Reconstruction and Hierarchical Feature Fusion,Liu F.; Zhu X.; Feng P.; Zeng L.,2023,"Sensors (Basel, Switzerland)",10.3390/s23218750,NOT_FOUND_IN_BIB.,TRUE,No abstract and unclear if it’s about surgery predictions.
Assessment of Maxillary Expansion Techniques by means of 3D Elastoplastic Finite Element Static Simulation,Shosheva O.; Zhmaylo M.; Maslov L.; Borovkov A.; Vishneva N.; Lanina A.; Yaremenko A.,2025,Journal of Applied and Computational Mechanics,10.22055/jacm.2024.47055.4653,"Even though numerous studies considered various approaches for maxillary expansion, there is still no consensus on which method is optimal for a patient with a particular clinical picture. The purpose of this study is to determine the optimal technique from the procedures proposed by doctors for a patient with completed facial skeleton growth. In this paper we consider four scenarios of surgical intervention, i.e., without osteotomy, midpalatal suture osteotomy, experimental osteotomy of zygomatico-alveolar ridge on the both sides of maxilla, and midpalatal suture osteotomy with osteotomy of zygomatico-alveolar ridge. In addition, two experimental appliances (one-screw expander and two-screw expander) and two positioning configurations of them (parallel to the hard palate and horizontal) are under consideration at the suggestion of the doctors. The criteria for determining the optimal technique are established in the article. Three-dimensional finite element (FE) models of skull and teeth of an adult 43-year-old patient with an ossified midpalatal suture are constructed based on the results of computed tomography, while the 3D models for the expander components are built separately and combined into the full FE system. The corresponding elastoplastic properties are adopted for the bone tissues and expander components. After proper skull fixation at the bottom, a quasi-static displacement of 0.25 mm, corresponding to quarter-turn of the control screw, is applied to the expander components to stimulate the maxillary expansion. All analyses in the paper are performed in the SIMULIA Abaqus 2021 software suite. Displacements and stresses in the bone structures of the hard palate and the appliance are obtained for all the cases studied. It was revealed that the expansion of the midpalatal suture is small in the cases without surgical intervention. A significantly greater expansion of the midpalatal suture is observed as a result of midpalatal suture osteotomy. Osteotomy of the zygomatico-alveolar ridge has virtually no effect on the value of the midpalatal suture expansion. Midpalatal suture osteotomy combined with osteotomy of the zygomatico-alveolar ridge leads to maximum expansion of the midpalatal suture. However, additional osteotomy of the zygomatico-alveolar ridge induces a proportionally greater increase in the expansion value at the dental level (by 24.8–25.8%) than at the midpalatal suture level (by 10.8–16.2%). Unlike the one-screw expander, using the two-screw expander leads to a 21.4– 22.9% greater expansion of the midpalatal suture in the cases with midpalatal suture osteotomy, but increases the highly stressed regions and the magnitude of plastic strains in them. The horizontal position of the expander contributes to a more symmetrical expansion of the maxilla than positioning the expander parallel to the palate. Based on the analysis performed, we believe that midpalatal suture osteotomy might be the best scenario for surgical intervention for maxillary expansion in patients with completed facial skeleton growth. The two-screw expander is more effective in terms of maxillary expansion values, but it increases the risk of bone resorption. It is also found that providing osteotomy of zygomatico-alveolar ridge and changing the position of the expander practically does not affect the expansion state. Thus, our findings can serve as a basis for doctors deciding which scenario of surgical intervention and expander configuration would be more appropriate for a particular patient. © 2024 Published by Shahid Chamran University of Ahvaz",TRUE,"Focuses on biomechanical simulation, not on predicting or evaluating aesthetics in surgery."
Finite element analysis of the flexor digitorum profundus tendon during a passive rehabilitation protocol; [Análisis de elementos finitos del tendón flexor profundo durante un protocolo de rehabilitación pasiva],Ruiz O.G.; Reinoso M.R.; Surace C.,2021,Revista Facultad de Ingenieria,10.17533/udea.redin.20210528,"The present study aims to create a patient-specific hand model to simulate the passive rehabilitation on the index finger, quantifying the flexor digitorum profundus (FDP) tendon excursion and the stress experienced during simulated flexion. The computational model used in this analysis was created from an unknown patient dataset available in the Embodi3d online library. The segmentation, three-dimensional reconstruction, and modeling of the structures involved were performed using Materialise Mimics and Rhino3D. The FDP tendon excursion and stress values present in the model were calculated in the ANSYS environment. Based on the finite-element simulation, the FDP tendon presents an excursion of 10.1 mm during passive postoperative flexion. The highest-stress values were observed between the pulleys-FDP tendon contact surfaces. In particular, the pulley A1 exhibited the maximum principal stress of the model with a 58.7 MPa. The pulley A3 showed the same stress distribution pattern that A1 Pulley, but with the lowest values. The FDP Tendon excursion obtained is consistent with the results reported in the literature, which vary from 8 to 11 mm. The stress values found in the model explain the importance of the pulley mechanism keeping the FDP tendon attached to the finger bone during the range of motion experienced. The silico model proposed may potentially be used in the assessment of new medical device proposals in the field of hand reconstructive surgery. © 2021. All Rights Reserved.",TRUE,"Focuses on tendon stress modeling, not on predicting or evaluating surgery aesthetics."
A computer-aided strategy for preoperative simulation of autologous ear reconstruction procedure,Mussi E.; Servi M.; Facchini F.; Carfagni M.; Volpe Y.,2021,International Journal on Interactive Design and Manufacturing,10.1007/s12008-020-00723-3,"Autologous ear reconstruction is the preferred treatment in case of partial or total absence of the external ear. The surgery can be very challenging to perform and the aesthetic result highly dependent on the surgeon’s “artistic skills”. In this context a preoperative planning and simulation phase based on the patient’s specific anatomy may result crucial for the surgical outcome. In this work, starting from a case study, the elements necessary for an effective simulation are identified and a strategy for their interactive design and customization is devised with a perspective of a semi-automatization of the procedure. © 2020, The Author(s).",TRUE,"Focuses on surgery prep, not on automatic outcome evaluation."
Mechanical characterization and modeling of knitted textile implants with permanent set,Pierrat B.; Nováček V.; Avril S.; Turquier F.,2021,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2020.104210,"Textile-based implant (mesh) treatment is considered as a standard of care for abdominal wall hernia repair. Computational models and simulations have appeared as one of the most promising approach to investigate biomechanics related to hernia repair and to improve clinical outcomes. This paper presents a novel anisotropic hypo-elastoplastic constitutive model specifically established for surgical knitted textile implants. The major mechanical characteristics of these materials such as anisotropy and permanent set have been reproduced. For the first time ever, we report an extensive mechanical characterization of one of these meshes, including cyclic uniaxial tension, planar equibiaxial tension and plunger type testing. These tests highlight the complex mechanical behavior with strong nonlinearity, anisotropy and permanent set. The novel anisotropic hypo-elasto-plastic constitutive model has been identified based on the tensile experiments and validated successfully against the data of the plunger experiment. In the future, implementation of this characterization and modeling approach to additional surgical knitted textiles should be the direction to follow in order to develop clinical decision support software for abdominal wall repair. © 2020 Elsevier Ltd",TRUE,"Focuses on textile implant modeling, not on aesthetic outcome prediction in surgery."
Simulation of Anastomosis in Coronary Artery Bypass Surgery,Mohammadi H.; Nestor B.; Fradet G.,2016,Cardiovascular Engineering and Technology,10.1007/s13239-016-0274-x,"Developing cardiac surgical skills and experience takes years of practice. Cardiac trainees need to develop technical proficiency in order to enhance quality of care and patient safety. Simulation-based models are common resources for teaching procedural skills in both undergraduate and postgraduate medical education. Suitable and accessible educational platforms can play a progressively important role in the training process for young surgeons in the area of cardiac surgery. Coronary artery bypass graft (CABG) surgery consists of a wide range of pathologic anatomies and surgical techniques. In this paper we introduce a novel, synthetic, biomimetic platform that allows for the realistic practice of the CABG surgery. The prototype uses a polyvinyl alcohol hydrogel which has been designed to mimic the geometric properties of vasculature. The proposed models look and feel like human tissue and possess somewhat consistent mechanical properties. In this study, we apply the platform to simulate a case of autogenous saphenous vein bypass grafting of a patient. An autogenous saphenous vein graft is placed from the aorta to the left anterior descending coronary artery. The standard procedures of the coronary artery bypass surgery were successfully simulated. Using the proposed technology, other complicated surgeries such as end to end, side to end, and sequential anastomoses can be simulated such that these models lend themselves very well to various types of anastomoses. © 2016, Biomedical Engineering Society.",TRUE,"Covers heart surgery training, not about predicting or evaluating looks in plastic or cancer surgery."
From the rhombic transposition flap toward Z-plasty: An optimized design using the finite element method,Rajabi A.; Dolovich A.T.; Johnston J.D.,2015,Journal of Biomechanics,10.1016/j.jbiomech.2015.08.021,"An optimized design for rhombic transposition flaps is created using a reliable finite element model that assures convergence for stress and deformation results. Defining a general configuration for rhombic flaps, the surgical process of wound closure is simulated for a wide variety of patterns. To address the intrinsic uncertainties associated with modelling skin's mechanical properties, four different sets of material parameters are considered, to investigate statistical measures. The results suggest that implementing the rhombic flap technique in a way similar to Z-plasty leads to an optimized surgical technique. The proposed flap, which can be employed for 60° to 90° rhombic defects, can reduce the maximum von Mises stress by 53% (on average) with respect to the Dufourmentel flap, and, in the case of a 60° defect, 43% with respect to the Limberg flap. To avoid any depressed area such as dog-ear formation, the maximum compressive principal stress is examined to assure that it remains within the limits of the stresses in the existing surgical techniques. The deformed configuration is also taken into consideration. Ease of implementation, in terms of both construction and orientation with respect to the relaxed skin tension lines, is another design feature offered by the proposed flap. © 2015 Elsevier Ltd.",TRUE,"Focuses on biomechanics and surgery design, not on automatic aesthetics prediction."
3D finite element modeling and analysis of dynamic force in bone drilling for orthopedic surgery,Qi L.; Wang X.; Meng M.Q.,2014,International Journal for Numerical Methods in Biomedical Engineering,10.1002/cnm.2631,"Three-dimensional finite element modeling and analysis are made to simulate the dynamic process of bone drilling during the orthopedic surgery. This study is proposed to evaluate the performance of various surgical tools and the possible pre-operative biohazard. In the simulation, the strain-stress curve of the bone is divided into linear elastic region and nonlinear plastic region according to the strain range. Rigid-plasticity and elasto-plasticity are used as bone material. The performances of twist drill bit and hollow drill bit are evaluated. The results of finite element analysis give different patterns of stress distribution on the two types of bone models and drill bits. The FE simulations show dynamic drilling process that the drill bit penetrates through the bone model. In vitro drilling experiment on porcine femur is conducted to measure the drilling force for the validation of the FEM. Copyright © 2014 John Wiley & Sons, Ltd.",TRUE,"Deals with bone drilling biomechanics, not aesthetic outcome prediction."
Inter-subject variability effects on the primary stability of a short cementless femoral stem,Bah M.T.; Shi J.; Heller M.O.; Suchier Y.; Lefebvre F.; Young P.; King L.; Dunlop D.G.; Boettcher M.; Draper E.; Browne M.,2015,Journal of Biomechanics,10.1016/j.jbiomech.2015.01.037,"This paper is concerned with the primary stability of the Furlong Evolution ® cementless short stem across a spectrum of patient morphology. A computational tool is developed that automatically selects and positions the most suitable stem from an implant system made of a total of 48 collarless stems to best match a 3D model based on a library of CT femur scans (75 males and 34 females). Finite Element contact models of reconstructed hips, subjected to physiologically-based boundary constraints and peak loads of walking mode, were simulated using a coefficient of friction of 0.4 and an interference-fit of 50μm. Maximum and average implant micromotions across the subpopulation were predicted to be 100±7μm and 7±5μm with ranges [15μm, 350μm] and [1μm, 25μm], respectively. The computed percentage of implant area with micromotions greater than reported critical values of 50μm, 100μm and 150μm never exceeded 14%, 8% and 7%, respectively. To explore the possible correlations between anatomy and implant performance, response surface models for micromotion metrics were constructed. Detailed morphological analyses were conducted and a clear nonlinear decreasing trend was observed between implant average micromotion and both the metaphyseal canal flare indices and average densities in Gruen zones. The present study demonstrates that the primary stability and tolerance of the short stem to variability in patient anatomy were high, reducing the need for patient stratification. In addition, the developed tool could be utilised to support implant design and planning of femoral reconstructive surgery. © 2015 Elsevier Ltd.",TRUE,"Focuses on bone implants, not on predicting or evaluating aesthetics."
Optimization of reconstruction of 2D medical images based on computer 3D reconstruction technology,Liu S.; Peng J.,2015,Journal of Digital Information Management,,"Computer 3D reconstruction consisting of reconstruction of 3D point clouds and images plays an important role in computer graphics, computer image processing and computer vision research. Image based 3D reconstruction includes reconstruction of single image and multiple images. Compared to obtain 3D mode by modeling software or scan tester traditionally, image-based 3D reconstruction is featured by strong sense of reality, low cost, vivid image and broader market demand. Moreover, image-based 3D reconstruction is practically an inverse problem of computer graphics. In medical field, 3D reconstruction of medical images is to create 3D information based on a 2D image and then form a vivid 3D image. It transforms 2D fault data sequence obtained from Computed Tomography (CT) and Magnetic Resonance Imaging (MRI) into 3D data, which is valuable in demonstrating tissues and organs of human body. 3D reconstruction technology concerning medicine is widely applied in medical diagnosis, surgical planning, analog simulation and plastic surgery. Therefore, computer 3D reconstruction technology is of important academic and practical value to reconstruction of 2D medical images. Research of 3D reconstruction of medical images focuses on preprocessing of medical images, such as filtering and interpolation, and segmentation and extraction of tissue and organ. This study analyzes design concept and method of cross-platform medical image 3D reconstruction system, development status, market demand and prospect of computer 3D reconstruction technology, medical volume data visualization technology, acquisition of medical images and several kinds of medical image preprocessing technologies. In the study, region growing algorithm is used to segment liver tissues. Volume rendering technology provides 3D special description for 2D medical fault images, to make its internal 3D structure become clearer. Principles and application scope of marching cubes based surface rendering algorithm is emphatically introduced. Based on traditional edge extraction theory, a new edge measurement and calculation method is designed, which makes edge smoother.",TRUE,"Focuses on 3D imaging techniques, not aesthetic outcome prediction."
Research on seamless development of surgical instruments based on biological mechanisms using CAD and 3D printer,Yamamoto I.; Ota R.; Zhu R.; Lawn M.; Ishimatsu T.; Nagayasu T.; Takagi K.; Koji T.,2015,Bio-Medical Materials and Engineering,10.3233/BME-151321,NOT_FOUND_IN_BIB.,TRUE,No abstract and title unclear about surgery prediction topic.
