title,author,year,journal,doi,abstract,rejected_by_abstract_screening,reason_for_abstract_screening
Three-dimensional nonlinear force-sensing method based on double microgrippers with E-type vertical elastomer for minimally invasive robotic surgery,Yu L.; Yan Y.; Li C.; Zhang X.,2018,Robotica,10.1017/S0263574718000085,"This paper presents a new type of forceps that consist of two microgrippers with the capability of direct force sensing, which enables grasping and manipulating forces at the tip of surgical instrument for minimally invasive robotic surgery. For the prototype design of the forceps, a double E-type vertical elastomer with four strain beams is presented, whose force-sensing principle is expounded. Thus, the forceps with the elastomer can be considered a compliant component, which provides tiny displacements that allow large strain, and the overall diameter is 10 mm. The sizes of the elastomer and forceps are successively determined by analyzing the relationship of several parameters and strain. Then, the linearity analysis of strain beams determines the positions to apply gauges for sensing. The two-dimensional force decoupling models for a single microgripper are proposed based on piecewise analytical polynomials of the strain difference and employed to develop a new three-dimensional force nonlinear decoupling algorithm based on double microgrippers, which realizes single-axial grasping and three-axial pulling forces. Finally, the required force-sensing performance of the proposed method is successfully verified in theory using finite-element simulations. © 2018 Cambridge University Press.",TRUE,"Focuses on creating a force-sensing tool for robotic surgery but doesn’t cover predicting or assessing aesthetic results in plastic or cancer-related surgery, so it doesn’t fit the review’s topic."
Study of mandible reconstruction using a fibula flap with application of additive manufacturing technology,Tsai M.-J.; Wu C.-T.,2014,BioMedical Engineering Online,10.1186/1475-925X-13-57,"Background: This study aimed to establish surgical guiding techniques for completing mandible lesion resection and reconstruction of the mandible defect area with fibula sections in one surgery by applying additive manufacturing technology, which can reduce the surgical duration and enhance the surgical accuracy and success rate. Methods: A computer assisted mandible reconstruction planning (CAMRP) program was used to calculate the optimal cutting length and number of fibula pieces and design the fixtures for mandible cutting, registration, and arrangement of the fibula segments. The mandible cutting and registering fixtures were then generated using an additive manufacturing system. The CAMRP calculated the optimal fibula cutting length and number of segments based on the location and length of the defective portion of the mandible. The mandible cutting jig was generated according to the boundary surface of the lesion resection on the mandible STL model. The fibular cutting fixture was based on the length of each segment, and the registered fixture was used to quickly arrange the fibula pieces into the shape of the defect area. In this study, the mandibular lesion was reconstructed using registered fibular sections in one step, and the method is very easy to perform. Results and conclusion: The application of additive manufacturing technology provided customized models and the cutting fixtures and registered fixtures, which can improve the efficiency of clinical application. This study showed that the cutting fixture helped to rapidly complete lesion resection and fibula cutting, and the registered fixture enabled arrangement of the fibula pieces and allowed completion of the mandible reconstruction in a timely manner. Our method can overcome the disadvantages of traditional surgery, which requires a long and different course of treatment and is liable to cause error. With the help of optimal cutting planning by the CAMRP and the 3D printed mandible resection jig and fibula cutting fixture, this all-in-one process of mandible reconstruction furnishes many benefits in this field by enhancing the accuracy of surgery, shortening the operation duration, reducing the surgical risk, and resulting in a better mandible appearance of the patients after surgery. © 2014 Tsai and Wu; licensee BioMed Central Ltd.",TRUE,"Focuses on surgical planning and creating cutting tools for jaw reconstruction without covering automatic prediction or assessment of how the results look, which is what the review is about."
The Incompatibility of Living Systems: Characterizing Growth-Induced Incompatibilities in Expanded Skin,Buganza Tepole A.; Gart M.; Purnell C.A.; Gosain A.K.; Kuhl E.,2016,Annals of Biomedical Engineering,10.1007/s10439-015-1467-4,"Skin expansion is a common surgical technique to correct large cutaneous defects. Selecting a successful expansion protocol is solely based on the experience and personal preference of the operating surgeon. Skin expansion could be improved by predictive computational simulations. Towards this goal, we model skin expansion using the continuum framework of finite growth. This approach crucially relies on the concept of incompatible configurations. However, aside from the classical opening angle experiment, our current understanding of growth-induced incompatibilities remains rather vague. Here we visualize and characterize incompatibilities in living systems using skin expansion in a porcine model: We implanted and inflated two expanders, crescent, and spherical, and filled them to 225 cc throughout a period of 21 days. To quantify the residual strains developed during this period, we excised the expanded skin patches and subdivided them into smaller pieces. Skin growth averaged 1.17 times the original area for the spherical and 1.10 for the crescent expander, and displayed significant regional variations. When subdivided into smaller pieces, the grown skin patches retracted heterogeneously and confirmed the existence of incompatibilities. Understanding skin growth through mechanical stretch will allow surgeons to improve—and ultimately personalize—preoperative treatment planning in plastic and reconstructive surgery. © 2015, Biomedical Engineering Society.",TRUE,"Focuses on the mechanical modeling of skin growth and misses discussing how to predict or assess how things will look, which doesn’t fit the review’s topic."
Optimization of the flexural rigidity of a concentric pipe used in transmitting rotation for arc-shaped forceps,Noda S.; Takayama T.; Omata T.,2017,ROBOMECH Journal,10.1186/s40648-017-0077-3,"Arc-shaped forceps are important in pharyngeal cancer surgery, endoscopic sinus surgery, and single port surgery. Rotating the gripper of an arc-shaped forceps with respect to its shaft axis can improve the manipulability of the forceps. Concentric pipe structures consisting of inner and outer pipes are often used for this purpose. The inner pipe transmits rotations from its proximal end to distal end. However, the shape of the bent inner pipe is generally different from that of the outer pipe, and this causes large friction between the outer and inner pipes. To reduce friction, a plastic tube is often used for the inner pipe. However, since its torsional rigidity is low, this results in a large twist angle. This paper proposes a procedure to fit a metal bent inner pipe to an outer pipe by adjusting the flexural rigidity of the inner pipe with slits to reduce the friction. The procedure minimizes the twist angle between the proximal and distal end of the arc-shaped forceps by reducing the torque required to rotate its metal inner pipe. We develop a 5 mm forceps with a 3.5 mm inner pipe. The twist angle is 2.8° when a load torque of 20 Nmm is applied, which is a typical load torque for suturing, whereas the twist angle of a PEEK (polyetheretherketone) inner pipe is 24.3° in simulation. Ex vivo experiments show that the required forceps torque is small in simulated clinical scenarios. © 2017, The Author(s).",TRUE,"Focuses on improving surgical tools instead of predicting or assessing aesthetic results in plastic or cancer-related surgery, so it doesn’t fit the review’s topic."
Characterization and assessment of hyperelastic and elastic properties of decellularized human adipose tissues,Omidi E.; Fuetterer L.; Reza Mousavi S.; Armstrong R.C.; Flynn L.E.; Samani A.,2014,Journal of Biomechanics,10.1016/j.jbiomech.2014.09.035,"Decellularized adipose tissue (DAT) has shown potential as a regenerative scaffold for plastic and reconstructive surgery to augment or replace damaged or missing adipose tissue (e.g. following lumpectomy or mastectomy). The mechanical properties of soft tissue substitutes are of paramount importance in restoring the natural shape and appearance of the affected tissues, and mechanical mismatching can lead to unpredictable scar tissue formation and poor implant integration. The goal of this work was to assess the linear elastic and hyperelastic properties of decellularized human adipose tissue and compare them to those of normal breast adipose tissue. To assess the influence of the adipose depot source on the mechanical properties of the resultant decellularized scaffolds, we performed indentation tests on DAT samples sourced from adipose tissue isolated from the breast, subcutaneous abdominal region, omentum, pericardial depot and thymic remnant, and their corresponding force-displacement data were acquired. Elastic and hyperelastic parameters were estimated using inverse finite element algorithms. Subsequently, a simulation was conducted in which the estimated hyperelastic parameters were tested in a real human breast model under gravity loading in order to assess the suitability of the scaffolds for implantation. Results of these tests showed that in the human breast, the DAT would show similar deformability to that of native normal tissue. Using the measured hyperelastic parameters, we were able to assess whether DAT derived from different depots exhibited different intrinsic nonlinearities. Results showed that DAT sourced from varying regions of the body exhibited little intrinsic nonlinearity, with no statistically significant differences between the groups. © 2014 Elsevier Ltd.",TRUE,"Focuses on biomechanical details of tissue instead of automatic prediction or assessment of aesthetic results, which doesn't align with the review's topic."
Design and modelling of a variable stiffness manipulator for surgical robots,Le H.M.; Cao L.; Do T.N.; Phee S.J.,2018,Mechatronics,10.1016/j.mechatronics.2018.05.012,"In Natural Orifice Transluminal Endoscopic Surgery (NOTES), a surgical robot that can access the human colon or stomach via natural orifices should have sufficient flexibility to pass through tortuous paths and to be operated in a confined space. In addition, the robot should possess an acceptable stiffness level to hold payloads during the surgery. This paper presents a new design concept for variable stiffness manipulators using thermoplastic material Polyethylene Terephthalate (PET) and a flexible stainless steel sheath as a heating media. The stiffness phases of PET can be actively adjusted through temperature. Experiments at different conditions showed that the proposed design was at least as flexible as a typical commercial endoscope in compliant mode and at least 9 times stiffer than the endoscope in stiff mode. In addition, flexural modulus of the proposed manipulator with respect to temperature, current, and time was modeled and validated through both simulation and experiments. A tendon-driven flexible robotic arm integrated with a variable stiffness spine was also developed, and ex vivo tests on fresh porcine tissue were conducted. The manipulator in compliant mode can be easily controlled through the tendons, and it is able to hold its shape against considerably large loads in stiff mode. The results demonstrate not only the high potential of the design concept for the future medical application but also the first steps toward building a complete surgical robotic system with fully controlled variable stiffness. © 2018 Elsevier Ltd",TRUE,"Focuses on designing and modeling a surgical robot without covering automated prediction or assessment of aesthetic results in plastic or cancer-related surgeries, which falls outside the review’s scope."
Propagation of material behavior uncertainty in a nonlinear finite element model of reconstructive surgery,Lee T.; Turin S.Y.; Gosain A.K.; Bilionis I.; Buganza Tepole A.,2018,Biomechanics and Modeling in Mechanobiology,10.1007/s10237-018-1061-4,"Excessive mechanical stress following surgery can lead to delayed healing, hypertrophic scars, and even skin necrosis. Measuring stress directly in the operating room over large skin areas is not feasible, and nonlinear finite element simulations have become an appealing alternative to predict stress contours on arbitrary geometries. However, this approach has been limited to generic cases, when in reality each patient geometry and procedure are unique, and material properties change from one person to another. In this manuscript, we use multi-view stereo to capture the patient-specific geometry of a 7-year-old female undergoing cranioplasty and complex tissue rearrangement. The geometry is used to setup a nonlinear finite element simulation of the reconstructive procedure. A key contribution of this work is incorporation of material behavior uncertainty. The finite element simulation is computationally expensive, and it is not suitable for uncertainty propagation which would require many such simulations. Instead, we run only a few expensive simulations in order to build a surrogate model by Gaussian process regression of the principal components of the stress fields computed with these few samples. The inexpensive surrogate is then used to compute the statistics of the stress distribution in this patient-specific scenario. © 2018, Springer-Verlag GmbH Germany, part of Springer Nature.",TRUE,"Focuses on biomechanical stress modeling in surgery without covering automatic prediction or assessment of aesthetic results, which is outside the scope of the review."
Non-invasive real-time prediction of inner knee temperatures during therapeutic cooling,Rashkovska A.; Kocev D.; Trobec R.,2015,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2015.07.004,"Non-invasive real-time prediction of inner knee temperatures during therapeutic cooling  The paper addresses the issue of non-invasive real-time prediction of hidden inner body temperature variables during therapeutic cooling or heating and proposes a solution that uses computer simulations and machine learning. The proposed approach is applied on a real-world problem in the domain of biomedicine - prediction of inner knee temperatures during therapeutic cooling (cryotherapy) after anterior cruciate ligament (ACL) reconstructive surgery. A validated simulation model of the cryotherapeutic treatment is used to generate a substantial amount of diverse data from different simulation scenarios. We apply machine learning methods on the simulated data to construct a predictive model that provides a prediction for the inner temperature variable based on other system variables whose measurement is more feasible, i.e. skin temperatures. First, we perform feature ranking using the RReliefF method. Next, based on the feature ranking results, we investigate the predictive performance and time/memory efficiency of several predictive modeling methods: linear regression, regression trees, model trees, and ensembles of regression and model trees. Results have shown that using only temperatures from skin sensors as input attributes gives excellent prediction for the temperature in the knee center. Moreover, satisfying predictive accuracy is also achieved using short history of temperatures from just two skin sensors (placed anterior and posterior to the knee) as input variables. The model trees perform the best with prediction error in the same range as the accuracy of the simulated data (0.1. °C). Furthermore, they satisfy the requirements for small memory size and real-time response. We successfully validate the best performing model tree with real data from in vivo temperature measurement from a patient undergoing cryotherapy after ACL reconstruction. © 2015 Elsevier Ireland Ltd.",TRUE,Focuses on predicting knee temperatures after ACL surgery rather than on automatically predicting or evaluating aesthetic results in plastic or cancer-related surgeries.
Preliminary simulation model toward the study of the effects caused by different mandibular advancement devices in OSAS treatment,Brunzini A.; Gracco A.; Mazzoli A.; Mandolini M.; Manieri S.; Germani M.,2018,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255842.2018.1511776,"The paper aims to evaluate the effects caused by a Mandibular Advancement Device (MAD) for Obstructive Sleep Apnoea Syndrome (OSAS) treatment. This study is based on Finite Element Method (FEM) for evaluating the load distribution on temporomandibular joint, especially on the mandibular condyle and disc, and on periodontal ligaments. The stress values on condyle and periodontal ligaments lead authors to consider MAD a safe procedure even for a long period. The obtained results also show the relationship between MAD material and load distribution at the periodontal ligaments. The paper is a step toward future analyses for studying and comparing the effects of MAD features, such as material, shape and dimensions, in order to allow the clinician prescribing the most fitting device. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",TRUE,"Focuses on biomechanical simulation for sleep apnea devices without covering automatic prediction or assessment of aesthetic results in plastic or cancer-related surgeries, so it doesn’t fit the review’s topic."
The validity and reliability of a hybrid reality simulator for wire navigation in orthopedic surgery,Thomas G.W.; Johns B.D.; Kho J.Y.; Anderson D.D.,2015,IEEE Transactions on Human-Machine Systems,10.1109/THMS.2014.2339324,"Creating training simulators for orthopedic surgery presents unique and largely unexplored engineering challenges. One of these challenges is simulating both the large forces and subtle haptic feedback involved in drilling into bone. This paper involves a hybrid reality wire navigation simulator that combines a physical drill and plastic foam bone surrogate with 3-D graphics to mimic the radiographic imaging often used in a common surgical task. This paper describes experiments to test the simulator's face, content, and construct validity, as well as the precision of the motion-tracking system. The results suggest that the simulator has sufficient face validity to engage trainees and recreates the critical aspects of the wire navigation task. Experimental simulator trials reveal time and accuracy differentials between experts and novices, suggesting construct validity. The results also show that the tracking system is accurate within 3.6 mm. © 2014 IEEE.",TRUE,"Focuses on creating a surgical training tool for orthopedic wire navigation, which doesn’t align with predicting or evaluating aesthetic results in plastic or cancer-related surgeries."
ArthroPlanner: a surgical planning solution for acromioplasty,Charbonnier C.; Chagué S.; Kevelham B.; Preissmann D.; Kolo F.C.; Rime O.; Lädermann A.,2018,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-018-1707-9,"Purpose: We present a computer-assisted planning solution “ArthroPlanner” for acromioplasty based on 3D anatomical models, computed tomography and joint kinematic simulations. Methods: In addition to a standard static clinical evaluation (anamnesis, radiological examination), the software provides a dynamic assessment of the shoulder joint by computing in real time the joint kinematics from a database of activities of daily living. During motion, the precise bone resection (location and amount) is computed based on detected subacromial impingements, providing surgeons with precise information about the surgical procedure. Moreover, to improve the subjective reading of medical images, the software provides 3D measurement tools based on anatomical models assisting in the analysis of shoulder morphological features. Results: We performed an in vivo assessment of the software in a prospective randomized clinical study conducted with 27 patients beneficiating from the planning solution and a control group of 31 patients without planning. Postoperatively, patient’s pain decreased, and the shoulder range of motion and the functional outcomes improved significantly and the rotator cuff healing rate was good for both groups without intergroup differences. The amount of bone resected at surgery was comparable between the groups. The percentage of remaining impingement after surgery was in average reduced to 51% without groups difference. Conclusions: ArthroPlanner software includes all required materials (images data, 3D models, motion, morphological measurements, etc.) to improve orthopedists’ performance in the surgical planning of acromioplasty. The solution offers a perfect analysis of the patient’s anatomy and the ability to precisely analyze a dynamic mechanism to fully apprehend the patient’s condition and to fulfill his/her expectations. The study however failed to detect any statistically significant difference in clinical outcomes and bone resection between the groups. Short-term clinical and radiological results were excellent in both groups. © 2018, CARS.",TRUE,"Focuses on surgical planning and outcomes in orthopedics rather than on predicting or evaluating aesthetic results in plastic or cancer-related surgery, which is outside the review’s scope."
Shape-Locking Mechanism of Flexible Joint Using Mechanical Latch with Electromagnetic Force,Chung D.G.; Kim J.; Baek D.; Kim J.; Kwon D.-S.,2019,IEEE Robotics and Automation Letters,10.1109/LRA.2019.2897006,"Single-incision laparoscopic surgery (SILS) has emerged as a procedure to further improve cosmetic profits and reduce the postoperative pain of multiport laparoscopic surgery. However, SILS is a difficult operation due to the limited workspace or accessibility. To improve surgical convenience, flexible surgical robots should be developed and applied to SILS for a large workspace. Flexible robots would penetrate a single incision point around the navel area and can provide a large workspace within the abdominal cavity. However, it is difficult to support the force required for surgical intervention during this process. In this study, a novel mechanism to lock the shape of a flexible joint to support the external forces during SILS is proposed. The developed shape-locking mechanism involves placing a latch between the joints; the shape locks by engagement of the latches via an electromagnetic force. The mechanism is implemented through mechanical coupling, so it can withstand large loads. Furthermore, the driving force of the mechanism is small because it only needs to engage the latch structure. This letter discusses the development of the mechanism, magnetic force simulation, and a payload experiment. © 2016 IEEE.",TRUE,"Focuses on creating a mechanical device for surgical robots, which doesn't relate to predicting or assessing aesthetic results in plastic or cancer surgery."
Prediction of insertion torque and stiffness of a dental implant in bovine trabecular bone using explicit micro-finite element analysis,Ovesy M.; Indermaur M.; Zysset P.K.,2019,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2019.06.024,"The assessment of dental implant performance is dominated by the concept of mechanical stability. Primary stability is defined as the capacity of a bone-implant structure to bear loads without occurrence of excessive damage and loosening. In order to achieve the highest primary stability, dental implants are inserted into bone using a press-fit procedure. Pre- and postoperative evaluation of primary stability using implantation torque and resonance frequency analysis are valid approaches but do not allow the systematic comparison of different protocols in similar situations. The aim of this research is to develop and validate an explicit, micro-finite element (μFE) methodology to study the effect of different amounts of initial press-fit on implantation torque and initial stiffness of a dental implant. Ten bovine trabecular bone samples were prepared that cover a wide range of bone volume fraction. A dental implant was inserted using two implantation protocols named soft (small initial drilled hole) and dense (increased initial drilled hole). The implantation torque was measured and the stiffness was calculated using an infinitesimal off-axis loading. Finite element simulations of the implant insertion and subsequent loading were performed on micro-computed tomography (μCT) reconstructions of the samples using an explicit solver. Bone was defined as an elasto-plastic material with von Mises yield criteria and hardening. Element deletion was triggered by a threshold in cumulated plastic strains. A sensitivity analysis was performed on friction, hardening and fracture strain to provide a better insight into the effects of these parameters on the results. The implantation torque required for the soft protocol was higher compared to the dense approach in both experiment and simulation due to the higher amount of bone compaction in the first approach. Interestingly, stiffness did not show a significant dependency on the drilling protocol in both experiment and simulation. In conclusion, the explicit microFE methodology developed in this study was able to capture the outcome of two drilling protocols in terms of torque and stiffness and represents a powerful tool to explore the effect of different parameters on primary stability of dental implants. © 2019 Elsevier Ltd",TRUE,Focuses on biomechanical analysis of dental implants rather than on predicting or evaluating aesthetic results in plastic or cancer-related surgeries.
Influence of custom-made implant designs on the biomechanical performance for the case of immediate post-extraction placement in the maxillary esthetic zone: a finite element analysis,Chen J.; Zhang Z.; Chen X.; Zhang X.,2017,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255842.2017.1283406,"Due to the increasing adoption of immediate implantation strategies and the rapid development of the computer aided design/computer aided manufacturing technology, a therapeutic concept based on patient-specific implant dentistry has recently been reintroduced by many researchers. However, little information is available on the designs of custom-made dental implant systems, especially their biomechanical behavior. The influence of the custom-made implant designs on the biomechanical performance for both an immediate and a delayed loading protocol in the maxillary esthetic zone was evaluated by means of the finite element (FE) method. FE models of three dental implants were considered: a state of the art cylindrical implant and two custom-made implants designed by reverse engineering technology, namely a root-analogue implant and a root-analogue threaded implant. The von Mises stress distributions and micro-motions around the bone-implant interfaces were calculated using ANSYS software. In a comparison of the three implant designs for both loading protocols, a favorable biomechanical performance was observed for the use of root-analogue threaded implant which approximated the geometry of natural anterior tooth and maintained the original long-axis. The results indicated that bone-implant interfacial micro-motion was reduced and a favorable stress distribution after osseointegration was achieved. © 2017 Informa UK Limited, trading as Taylor & Francis Group.",TRUE,"Focuses on dental implant biomechanics through finite element analysis but doesn’t cover automatic prediction or assessment of aesthetic results in plastic or cancer-related surgery, so it falls outside the review's scope."
Biomechanical testing of zirconium dioxide osteosynthesis system for Le Fort I advancement osteotomy fixation,Hingsammer L.; Grillenberger M.; Schagerl M.; Michael M.; Stefan H.,2018,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2017.09.004,"The following work is the first evaluating the applicability of 3D printed zirconium dioxide ceramic miniplates and screws to stabilize maxillary segments following a Le-Fort I advancement surgery. Conventionally used titanium and individual fabricated zirconium dioxide miniplates were biomechanically tested and compared under an occlusal load of 120 N and 500 N using 3D finite element analysis. The overall model consisted of 295,477 elements. Under an occlusal load of 500 N a safety factor before plastic deformation respectively crack of 2.13 for zirconium dioxide and 4.51 for titanium miniplates has been calculated. From a biomechanical point of view 3D printed ZrO2 mini-plates and screws are suggested to constitute an appropriate patient specific and metal-free solution for maxillary stabilization after Le Fort I osteotomy. © 2017 Elsevier Ltd",TRUE,"Focuses on biomechanical testing of fixation devices without discussing any automated prediction or assessment of aesthetic results, which doesn't match the review's topic."
"Anterior laxity, graft-tunnel interaction and surgical design variations during anterior cruciate ligament reconstruction: A probabilistic simulation of the surgery",Dhaher Y.Y.; Salehghaffari S.; Adouni M.,2016,Journal of Biomechanics,10.1016/j.jbiomech.2016.07.019,"Anterior cruciate ligament (ACL) reconstructive surgeries, employing a total of 48 models, were conducted by virtually removing the ACL and then modeling the surgical preparation, tunnel architecture, graft pre-tensioning and fixation angle of a bone-patellar-tendon-bone autograft. Multifactorial sensitivity analyses were performed to assess the relative influence of these surgical factors on the intraoperative joint laxity, graft-tunnel contact mechanics and graft forces. The sensitivity results indicated that the combined variation in tunnel architecture and graft pre-tension at the time of fixation accounts for most of the estimated variance of the three outcomes. Joint laxity was largely influenced by tunnel placement with a modest contribution of the pre-tensioning force. However, variations in pre-tensioning force yielded a significant effect on both the in tunnel and intra-articular graft forces. Tunnel directions played the dominant role in the expressions of the contact shear between the graft and tunnel aperture in the fully extended and reconstructed joint. Given the proposed significance of the shear mediated graft abrasion at the graft-tunnel aperture, these sensitivity results are consistent with the general observation in the Multicenter ACL Revision Study (MARS), femoral tunnel architecture is most correlated with incidences of graft failures. Tunnel direction and graft pre-tension had similar effect on the estimated variance of the contact pressure in the fully extended joint. Data derived from the 48 ACL reconstructed models indicated that the anatomic surgical design may not be the only design that recovers the healthy joint laxity. In the context of the design of prospective studies, our findings highlight the need to include the graft tension and not fixation angle at the time of fixation as a variable in the evaluation of the surgery. © 2016 Elsevier Ltd",TRUE,"Focuses on knee ligament simulation without covering automatic prediction or aesthetic evaluation in plastic or cancer-related surgery, which doesn't fit the review's topic."
Feasibility of using bulk metallic glass for self-expandable stent applications,Praveen Kumar G.; Jafary-Zadeh M.; Tavakoli R.; Cui F.,2017,Journal of Biomedical Materials Research - Part B Applied Biomaterials,10.1002/jbm.b.33718,"Self-expandable stents are widely used to restore blood flow in a diseased artery segment by keeping the artery open after angioplasty. Despite the prevalent use of conventional crystalline metallic alloys, for example, nitinol, to construct self-expandable stents, new biomaterials such as bulk metallic glasses (BMGs) are being actively pursued to improve stent performance. Here, we conducted a series of analyses including finite element analysis and molecular dynamics simulations to investigate the feasibility of using a prototypical Zr-based BMG for self-expandable stent applications. We model stent crimping of several designs for different percutaneous applications. Our results indicate that BMG-based stents with diamond-shaped crowns suffer from severe localization of plastic deformation and abrupt failure during crimping. As a possible solution, we further illustrate that such abrupt failure could be avoided in BMG-based stents without diamond shape crowns. This work would open a new horizon for a quest toward exploiting superior mechanical and functional properties of metallic glasses to design future stents. © 2016 Wiley Periodicals, Inc. J Biomed Mater Res Part B: Appl Biomater, 105B: 1874–1882, 2017. © 2016 Wiley Periodicals, Inc.",TRUE,"Focuses on the mechanical aspects of bulk metallic glass for stents, which doesn’t connect to predicting or evaluating aesthetic results in plastic or cancer-related surgery."
Design and fluid flow simulation of modified laparoscopic forceps,Junaidi M.A.R.; Kalluri R.C.M.; Rao Y.V.D.; Gokhale A.G.K.; Patel A.,2021,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255842.2020.1855331,"Laparoscopic surgery has gained prominence in recent decades and employed in minimally invasive surgeries to avoid massive cuts resulting in a reduction in pain, the chance of infection, and duration of stay in the hospital. Maryland forceps, which belongs to the category of grasper instruments, are often used in minimally invasive surgeries to hold, pull, push, manipulate, and perform dissection operations. During laparoscopic surgeries, often blood and other body fluids ooze from the site of surgery. Typically, suction–irrigation (SI) devices are used to periodically clear these fluids to get a better view of the site of surgery. To achieve this, the removal and insertion of multiple instruments are required. This process has to be repeated numerous times, which significantly increases the time needed for surgery. Literature survey and feedback from practicing surgeons suggest that this can be avoided by improving the current design of forceps. In this article, a modified design is proposed by combining the SI feature with the existing form of Maryland forceps. The modified design is first modeled in SolidWorks and then analyzed for fluid flow using ANSYS Fluent. Parametric analysis is performed to obtain the optimal design for the proposed multi-functional instrument, which can potentially improve the overall efficiency of the laparoscopic surgical process. © 2020 Informa UK Limited, trading as Taylor & Francis Group.",TRUE,"Focus lies on designing and simulating laparoscopic forceps, with no mention of predicting or evaluating cosmetic results in plastic or cancer-related surgeries, so it doesn’t fit the review’s topic."
Computational and experimental fatigue analysis of contoured spinal rods,Piovesan A.; Berti F.; Villa T.; Pennati G.; La Barbera L.,2019,Journal of Biomechanical Engineering,10.1115/1.4042767,"Posterior fixation with contoured rods is an established methodology for the treatment of spinal deformities. Both uniform industrial preforming and intraoperative contouring introduce tensile and compressive plastic deformations, respectively, at the concave and at the convex sides of the rod. The purpose of this study is to develop a validated numerical framework capable of predicting how the fatigue behavior of contoured spinal rods is affected by residual stresses when loaded in lordotic and kyphotic configurations. Established finite element models (FEM) describing static contouring were implemented as a preliminary simulation step and were followed by subsequent cyclical loading steps. The equivalent Sines stress distribution predicted in each configuration was compared to that in straight rods (SR) and related to the corresponding experimental number of cycles to failure. In the straight configuration, the maximum equivalent stress (441 MPa) exceeds the limit curve, as confirmed by experimental rod breakage after around 1.9 × 10^5 loading cycles. The stresses further increased in the lordotic configuration, where failure was reached within 2.4 × 10^4 cycles. The maximum equivalent stress was below the limit curve for the kyphotic configuration (640 MPa), for which a run-out of 10^6 cycles was reached. Microscopy inspection confirmed agreement between numerical predictions and experimental fatigue crack location. The contouring technique (uniform contouring (UC) or French bender (FB)) was not related to any statistically significant difference. Our study demonstrates the key role of residual stresses in altering the mean stress component, superposing to the tensile cyclic load, potentially explaining the higher failure rate of lordotic rods compared to kyphotic ones. © 2019 by ASME.",TRUE,"Focuses on mechanical fatigue of spinal rods and doesn’t cover automatic prediction or evaluation of aesthetic results in plastic or cancer-related surgery, so it doesn’t fit the review’s topic."
Effect of elastomer characteristics on fiber optic force sensing performance in biomedical robotics applications,Park K.; Kim C.; Kulkarni A.; Shin D.; Kim H.-U.; Kim K.; Kim T.,2018,Journal of Mechanical Science and Technology,10.1007/s12206-018-1109-5,"Miniaturized and “smart” sensors are required for research in biology, physiology, and biomechanics, and they have extremely important clinical applications for diagnostics and minimally invasive surgery. Fiber optic sensors have been proven to provide advantages compared to conventional sensors and high potential for biomechanical and biomedical applications. They are small, easy to operate, minimally invasive with low risk, more accurate, and inexpensive. This paper reports the design and modeling of a fiber optic force sensor that is capable of measuring compliance for a contact force of up to 1 N. The main objective of this study is to design and model a fiber optic sensor capable of measuring the total force applied on an object. A polydimethylsiloxane (PDMS) elastomer film with a thickness of 1.2 mm is placed between an optical fiber tip and an object, and it is used for measuring the force applied on a rigid element. The compliance of the fiber optic force sensor is measured by recording the response of PDMS elastomer films under different load conditions. We use finite element modeling results as a basis for comparing experimental data. The agreement between theoretical predictions and experimental data is reasonable and within an acceptable range. © 2018, The Korean Society of Mechanical Engineers and Springer-Verlag GmbH Germany, part of Springer Nature.",TRUE,"Focuses on designing a fiber optic force sensor for biomechanical use, which doesn't relate to predicting or assessing aesthetic results in plastic or cancer surgery."
A new framework for characterization of poroelastic materials using indentation,Esteki M.H.; Alemrajabi A.A.; Hall C.M.; Sheridan G.K.; Azadi M.; Moeendarbary E.,2020,Acta Biomaterialia,10.1016/j.actbio.2019.11.010,"To characterize a poroelastic material, typically an indenter is pressed onto the surface of the material with a ramp of a finite approach velocity followed by a hold where the indenter displacement is kept constant. This leads to deformation of the porous matrix, pressurization of the interstitial fluid and relaxation due to redistribution of fluid through the pores. In most studies the poroelastic properties, including elastic modulus, Poisson ratio and poroelastic diffusion coefficient, are extracted by assuming an instantaneous step indentation. However, exerting step like indentation is not experimentally possible and usually a ramp indentation with a finite approach velocity is applied. Moreover, the poroelastic relaxation time highly depends on the approach velocity in addition to the poroelastic diffusion coefficient and the contact area. Here, we extensively studied the effect of indentation velocity using finite element simulations which has enabled the formulation of a new framework based on a master curve that incorporates the finite rise time. To verify our novel framework, the poroelastic properties of two types of hydrogels were extracted experimentally using indentation tests at both macro and micro scales. Our new framework that is based on consideration of finite approach velocity is experimentally easy to implement and provides a more accurate estimation of poroelastic properties.",TRUE,"Focuses on testing materials with indentation, which doesn't relate to predicting or assessing aesthetic results in plastic or cancer surgery."
