Unnamed: 0,DOI,Year,Responsible,Modality,Number of Papers,Unnamed: 6,Descriptive Quality [1-5],Description of,Unnamed: 9,Unnamed: 10,Scope,Observations,Unnamed: 13,Descriptive Quality [1-5].1,Unnamed: 15
"Evolution, current challenges, and future possibilities in the objective assessment of aesthetic outcome of breast cancer locoregional treatment",https://doi.org/10.1016/j.breast.2019.11.006,2019.0,Helena,Breast,1,13,5,No,No,,Aesthetic Evaluation,,,,
Sensor technology and machine learning to guide clinical decision making in plastic surgery,https://doi.org/10.1016/j.bjps.2024.10.010,,,,,,,,,,,,,,
Artificial intelligence in cosmetic dermatology: a systematic literature review,https://doi.org/10.1109/ACCESS.2023.3295001,,,,,,,,,,,,,,
AI Applications in Chin-Related Surgeries: Toward More Accurate and Predictable Results,https://doi.org/10.1007/978-3-031-36962-9_174-1,,,,,,,,,,,,,,
"Artificial intelligence in facial plastic surgery: a review of current applications, future applications, and ethical considerations",https://doi.org/10.1055/s-0043-1770160,,,,,,,,,,,,,,
Role of artificial intelligence in treatment planning and outcome prediction of jaw corrective surgeries by using 3-D imaging-A systematic review,https://doi.org/10.1016/j.oooo.2024.09.010,2024.0,Helena,Jaw,3,0,5,,,,,,,,
Big data and machine learning in plastic surgery: a new frontier in surgical innovation,https://doi.org/10.1097/PRS.0000000000002088,,,,,,,,,,,,,,
"Artificial intelligence, machine learning, and deep learning for clinical outcome prediction ",https://doi.org/10.1042/ETLS20210246,,,,,,,,,,,,,,
Use of artificial intelligence in breast surgery: a narrative review,https://doi.org/10.21037/gs-23-414,,,,,,,,,,,,,,
Simulation and Artificial Intelligence in Rhinoplasty: A Systematic Review,https://doi.org/10.1007/s00266-022-02883-x,,Helena,Nose,9,1,3,,,,,,,,
Artificial Intelligence and Deep Learning in Preservation Rhinoplasty: A Review,https://doi.org/10.1177/07488068231224133,,,,,,,,,,,,,,
Present and future of machine learning in breast surgery: systematic review,https://doi.org/10.1093/bjs%2Fznac224,,,,,,,,,,,,,,
Role of Artificial Intelligence and Machine Learning in Facial Aesthetic Surgery: A Systematic Review.,https://doi.org/10.1089/fpsam.2024.0204,,,,,,,,,,,,,,
"Artificial Intelligence in Plastic Surgery: Analysis of Applications, Perspectives, and Psychological Impact",https://doi.org/10.1007/s00266-024-03988-1,,,,,,,,,,,,,,
"Using Generative Artificial Intelligence Tools in Cosmetic Surgery: A Study on Rhinoplasty, Facelifts, and Blepharoplasty Procedures",https://doi.org/10.3390/jcm12206524,,,,,,,,,,,,,,
Application of generative adversarial networks (GAN) for ophthalmology image domains: a survey,https://doi.org/10.1186/s40662-022-00277-3,2022.0,Helena,Eye,1,0,5,,,,,,,,
"Generative artificial intelligence in ophthalmology: current innovations, future applications and challenges",https://doi.org/10.1136/bjo-2024-325458,,,,,,,,,,,,,,
Latest developments of generative artificial intelligence and applications in ophthalmology,https://doi.org/10.1016/j.apjo.2024.100090,,,,,,,,,,,,,,
Application of artificial intelligence in oculoplastics,https://doi.org/10.1016/j.clindermatol.2023.12.019,,Helena,Eye,1,1,3,,,,,,,,
Artificial Intelligence in Ophthalmic Surgery: Current Applications and Expectations,https://doi.org/10.2147/OPTH.S438127,,,,,,,,,,,,,,
Generative artificial intelligence in surgery,https://doi.org/10.1016/j.surg.2024.02.019,,,,,,,,,,,,,,
Generative Adversarial Networks (GANs) in the Field of Head and Neck Surgery: Current Evidence and Prospects for the Future—A Systematic Review,https://doi.org/10.3390/jcm13123556,,,,,,,,,,,,,,
Potential role of artificial intelligence in craniofacial surgery,https://doi.org/10.7181/acfs.2021.00507,,,,,,,,,,,,,,
Current Advances in Artificial Intelligence in the Field of Aesthetic Surgery and Breast Augmentation: Short Review,https://doi.org/10.1177/07488068241245520,,,,,,,,,,,,,,
Use of Artificial Intelligence in the Advancement of Breast Surgery and Implications for Breast Reconstruction: A Narrative Review,https://doi.org/10.3390/jcm12155143,,,,,,,,,,,,,,
A Synopsis of Artificial Intelligence and its Applications in Surgery,https://doi.org/10.1177/00031348221109450,,,,,,,,,,,,,,
"Integrating AI into Breast Reconstruction Surgery: Exploring Opportunities, Applications, and Challenges",https://doi.org/10.1177/22925503241292349,2024.0,Helena,Breast,1,0,2,,,,,Focuses mostly on robotics. Does not mention aesthetic evaluation. Only mentions BreastGAN in outcome prediction,,,
A Systematic Review of Artificial Intelligence Applications in Plastic Surgery: Looking to the Future,https://doi.org/10.1097/GOX.0000000000004608,,,,,,,,,,,,,,
Applications of artificial intelligence in facial plastic and reconstructive surgery: a systematic review,https://doi.org/10.1055/a-2216-5099,,,,,,,,,,,,,,
Cosmetic and Reconstructive Facial Plastic Surgery Related Simulation and Optimization Efforts,https://doi.org/10.1007/978-3-031-31168-0_7,,,,,,,,,,,,,,
Aesthetic breast surgery: putting in context—a narrative review,https://doi.org/10.21037/gs-20-892,,,,,,,,,,,,,,
Methods for the aesthetic evaluation of breast cancer conservation treatment: a technological review,,,,,,,,,,,,,,,
Artificial intelligence in maxillofacial and facial plastic and reconstructive surgery,,,,,,,,,,,,,,,
