title,author,year,journal,doi,abstract,rejected_by_full-text_screening,reason_for_full-text_screening
Manufacturing of customized implants for orbital fractures using 3D printing,A M.; Mohan A A.; Reddy M H.,2021,Bioprinting,10.1016/j.bprint.2020.e00118,"An orbital fracture is a traumatic injury to the bone in the eye socket. These fractures modify the orbital bone dimensions and the functioning of the intraorbital contents. In this study, a surgical method that includes positioning, aligning and fixing implants to restore orbital fractures was adapted. Notably, it is difficult to achieve an original three-dimensional orbital shape through the process of forming and cutting implants; however, this problem was solved by creating customized implants using computed tomography (CT) images of the patient. The objective of this work is to reconstruct the damaged orbital floor defects by means of a 3D printed implant and restore the orbital floor to its original shape. A case study of an orbital fracture has been included in this study. CT images were used to create a computer-aided design (CAD) model of orbital floor implants, which were designed to maintain orbital floor symmetry from right to left and vice versa. Furthermore, the designed implants were manufactured through a material extrusion process with biocompatible material. The application of the material extrusion process with biocompatible material resulted in the fabrication of implants at a minimal cost. Therefore, the customized models used in the patient's intra-operation can minimize the operational time and maximize surgical safety. © 2020 Elsevier B.V.",TRUE,"Focuses on making and using custom implants for orbital fractures without covering automatic prediction or assessing aesthetic results, which is outside the review’s scope."
A novel three dimensional-printed biomechanically evaluated patient-specific sacral implant in spinopelvic reconstruction after total en bloc sacrectomy,Lv Z.; Li J.; Yang Z.; Li X.; Yang Q.; Li Z.,2023,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2023.1153801,"Background: Reconstruction after a total sacrectomy is a challenge due to the special anatomical and biomechanical factors. Conventional techniques of spinal-pelvic reconstruction do not reconstruct satisfactorily. We describe a novel three-dimensional-printed patient-specific sacral implant in spinopelvic reconstruction after total en bloc sacrectomy. Methods: We performed a retrospective cohort study including 12 patients with primary malignant sacral tumors, including 5 men and 7 women with a mean age of 58.25 years (range 20–66 years), undergoing total en bloc sacrectomy with 3D printed implant reconstruction from 2016 to 2021. There were 7 cases of chordoma, 3 cases of osteosarcoma, 1 case of chondrosarcoma and 1 case of undifferentiated pleomorphic sarcoma. We use CAD technology to determine surgical resection boundaries, design cutting guides, and individualized prostheses, and perform surgical simulations before surgery. The implant design was biomechanically evaluated by finite element analysis. Operative data, oncological and functional outcomes, complications, and implant osseointegration status of 12 consecutive patients were reviewed. Results: The implants were implanted successfully in 12 cases without death or severe complications during the perioperative period. Resection margins were wide in 11 patients and marginal in one patient. The average blood loss was 3875 mL (range, 2000–5,000 mL). The average surgical time was 520 min (range, 380–735 min). The mean follow-up was 38.5 months. Nine patients were alive with no evidence of disease, two patients died due to pulmonary metastases, and one patient survived with disease due to local recurrence. Overall survival was 83.33% at 24 months. The Mean VAS was 1.5 (range, 0–2). The mean MSTS score was 21 (range, 17–24). Wound complications occurred in 2 cases. A deep infection occurred in one patient and the implant was removed. No implant mechanical failure was identified. Satisfactory osseointegration was found in all patients, with a mean fusion time of 5 months (range 3–6 months). Conclusion: The 3D-printed custom sacral prosthesis has been effective in reconstructing spinal-pelvic stability after total en bloc sacrectomy with satisfactory clinical outcomes, excellent osseointegration, and excellent durability. Copyright © 2023 Lv, Li, Yang, Li, Yang and Li.",FALSE,
Simple incision and suture modeling on fixed structured grids,Holm M.T.; Haugaard A.M.; Poulios K.; Aage N.,2024,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2024.106692,"Simple incision and suture modeling on fixed structured grids  This paper presents a simple yet versatile approach to simulate skin incisions and suturing using nonlinear finite element analysis on a fixed structured grid with a spring-based suture model. Incisions and wounds are introduced by element removal and the sutures are discretely modeled by applying linear constraint relations pairwise to groups of nodes. Two numerical examples utilize the closing of an elliptical wound to study the influence of the number of sutures and their location, and two test cases use the Z-plasty transposition flap technique to investigate the versatility of the proposed method and for comparison with state-of-the-art results. The results indicate that the presented method is able to recreate literature results to an acceptable level of accuracy. Further, the method proves versatile due to the ability to freely introduce incisions and wounds onto the fixed grid modeling domain without remeshing. Lastly, the two main advantages of the discrete suture representation are the ability to capture local stress concentrations near the sutures and the full freedom in placing the sutures. © 2024 The Author(s)",FALSE,
"A novel, deep Learning-Based, automatic photometric analysis software for breast aesthetic scoring","Park, Joseph Kyu-hyung and Baek, Seungchul and Heo, Chan Yeong and Jeong, Jae Hoon and Myung, Yujin",2024,Archives of Plastic Surgery,"Thieme Medical Publishers, Inc.",NOT_FOUND_IN_BIB.,FALSE,
Plastic surgery: An obstacle for deep face recognition?,"Rathgeb, Christian and Dogan, Didem and Stockhardt, Fabian and De Marsico, Maria and Busch, Christoph",2020,,,"Plastic surgery is a challenging problem for face recognition systems. In this paper, we investigate the impact of plastic surgery on deep face recognition. We analyze the performance of state-of-the-art deep face recognition models on a plastic surgery face dataset and compare it with their performance on a standard face dataset. Our experiments show that plastic surgery significantly degrades the performance of deep face recognition systems. We also explore the effectiveness of fine-tuning deep models on plastic surgery data and demonstrate that it can improve recognition accuracy. The findings highlight the need for developing more robust face recognition algorithms that can handle the variations introduced by plastic surgery.",FALSE,
An Automatic Framework for Nasal Esthetic Assessment by ResNet Convolutional Neural Network,"Ashoori, Maryam and Zoroofi, Reza A and Sadeghi, Mohammad",2024,Journal of Imaging Informatics in Medicine,Springer,"This study proposes an automatic framework for nasal esthetic assessment using a ResNet convolutional neural network (CNN). The framework aims to provide an objective and efficient evaluation of nasal esthetics by analyzing facial images. By leveraging the deep learning capabilities of ResNet, the model extracts relevant features and predicts esthetic scores that correlate with expert assessments. The proposed method demonstrates high accuracy and robustness, suggesting its potential application in clinical settings for preoperative planning and postoperative evaluation in rhinoplasty procedures.",FALSE,
Effect of mesh anchoring technique in uterine prolapse repair surgery: A finite element analysis,Silva M.E.T.; Bessa J.N.M.; Parente M.P.L.; Mascarenhas T.; Natal Jorge R.M.; Fernandes A.A.,2021,Journal of Biomechanics,10.1016/j.jbiomech.2021.110649,"The female pelvic cavity involves muscles, ligaments, endopelvic fasciae and multiple organs where different pathologies may occur, namely the pelvic organ prolapse (POP). The synthetic implants are used for the reconstructive surgery of POP, but severe complications associated with their use have been reported, mainly related to their mechanical properties (e.g., implant stiffness) and microstructure. In this study, we mimicked a transvaginal reconstructive surgery to repair the apical ligaments (uterosacral ligaments (USLs) and cardinal ligaments (CLs)), by modeling, their impairment (90% and 50%) and/or total rupture. The implants to reinforce/replace these ligaments were built based on literature specifications and their mechanical properties were obtained through uniaxial tensile tests. The main aim of this study was to simulate the effect of mesh anchoring technique (simple stich and continuous stitch), and compare the displacement magnitude of the pelvic tissues, during Valsalva maneuver. The absence/presence of the synthetic implant was simulated when total rupture of the CLs and USLs occurs, causing a variation of the vaginal displacement (9% for the CLs and 27% for the USLs). Additionally, the simulations showed that there was a variation of the supero-inferior displacement of the vaginal wall between different anchoring techniques (simple stich and continuous stitch) being approximately of 10% for the simulation USLs and CLs implant. The computational simulation was able to mimic the biomechanical behavior of the USLs and CLs, in response to different anchoring techniques, which can be help improving the outcomes of the prolapse surgery. © 2021 Elsevier Ltd",FALSE,
Biomechanical comparison of locking and non-locking patient-specific mandibular reconstruction plate using finite element analysis,Zhong S.; Shi Q.; Sun Y.; Yang S.; Van Dessel J.; Gu Y.; Chen X.; Lübbers H.-T.; Politis C.,2021,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2021.104849,"Patient-specific mandibular reconstruction plate (PSMRP), as one of the patient-specific implants (PSIs), offers a host of benefits to mandibular reconstruction. Due to the limitation of fabricating screw hole threads in the PSMRP, 3D printed PSMRP is applied to the non-locking system directly in the mandibular reconstruction with bone graft regardless of the locking system. Since the conventional manual-bending reconstruction plate (CMBRP) provides better fixation in the locking system, it needs to be validated whether the locking PSMRP performs better than the non-locking PSMRP in the patient-specific mandibular reconstruction. Thereupon, the purpose of this study was to compare the biomechanical behavior between the locking and non-locking PSMRP. Finite element analysis (FEA) was used to conduct the biomechanical comparison between the locking PSMRP and non-locking PSMRP by simulating the momentary incisal clenching through static structural analysis. Mandible was reconstructed through the virtual surgical planning, and subsequently a 3D model of mandibular reconstruction assembly, including reconstructed mandible, PSMRP, and fixation screws, was generated and meshed for the following FEA simulations. In the form of equivalent von Mises stress, equivalent elastic strain, and total deformation, the locking PSMRP demonstrated its higher strengths of preferable safety, desirable flexibility, and anticipated stability compared with the non-locking PSMRP, indicated by much lower maximum stress, lower maximum strain and equivalent displacement. Locking PSMRP/screw system provides a better fixation effect to the patient-specific mandibular reconstruction than the non-locking one as a result of its productive fixation nature. FEA plays a paramount role in pre-validating the design of PSMRP through the biomechanical behavior evaluation in static structural analysis. © 2021 Elsevier Ltd",FALSE,
Optimization of grinding parameters in robotic-assisted preparation of cracked teeth based on fracture mechanics: FEA and experiment,Sun J.; Jiang J.; Ma B.; Zhang Y.; Pan J.; Qiao D.,2025,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2024.108485,"Background and Objectives: If left untreated, cracked teeth can lead to tooth loss, of which the incidence is 70%. Dental preparation is an effective treatment, but it is difficult to meet the clinical requirements when traditionally prepared by dentists. Grinding-based tooth preparation robot (TPR) shows promise for clinical applications to assist dentists. However, current TPR has problems with chipping and crack extension when preparing real teeth. Methods: We propose a grinding parameter optimization strategy to solve this problem, specifically including preparation depth and direction. Among them, surface morphology observation technology and thermal-mechanical coupling simulation technology are used. Through theoretical modeling, computer simulation techniques and surface morphology experimental studies, different motion parameters are compared and analyzed to derive the optimal preparation parameters. Results: One of our contributions is to control the preparation depth based on the different material removal methods, and the brittle removal methods and grinding heat during the preparation process were reduced. Another contribution is to derive the stress intensity factor (SIF) at the crack tip for different preparation directions based on multi-grit and thermal-mechanical coupling finite element model for different preparation stages. The preparation direction was directed and crack extension was minimized. Finally, the experimental system of the TPR was constructed. Based on the proposed morphology and preparation direction optimization method, the material removal method during the preparation process can be controlled in plastic removal. Crack extension was also reduced based on different stages of optimized preparation directions. Based on the guided strategy, the TPR can provide safe assisted dentists. Conclusions: In this work, the preparation parameters of the cracked preparation robot were optimized to enable it to perform the preparation of hard and brittle cracked teeth. The surface morphology met the clinical requirements. Intraoral preparation will be considered in the future to advance the robot toward clinical dental applications. © 2024 Elsevier B.V.",TRUE,"Focuses on robotic grinding for dental repairs, not on predicting or evaluating aesthetic results in plastic or cancer surgeries, so it’s outside the review’s scope."
Modeling and experimental study of the needle indentation into a brain phantom,Yakovenko A.A.; Lai Y.-X.; Goryacheva I.G.; Ju M.-S.; Dosaev M.Z.; Selyutskiy Y.D.,2021,International Journal of Non-Linear Mechanics,10.1016/j.ijnonlinmec.2021.103832,"In some surgical operations, a needle is inserted into the patient's brain to perform the necessary manipulations (for instance, a biopsy). In this context, the study of the interaction between the needle and the brain tissue is an important task. One of common ways to perform experimental study of such interaction is through the use brain phantoms. In this work, a series of experiments is performed on indentation of a biopsy needle into a phantom manufactured of the agar gel. During these experiments, the force of interaction between the needle and the phantom tissue was measured for different indentation speeds and depths. An analytical mathematical model is proposed that describes this force. The model takes into account such effects as viscoelastic and plastic properties and relaxation behavior of the material, as well as the presence of a surface film. Parameters of the model are identified based on the obtained experimental data. It is shown that the results of numerical simulation using this model are in good agreement with the experimental data. Such a model is general and can be used not only for solving problems of biomechanics. © 2021 Elsevier Ltd",TRUE,"Focuses just on biomechanical modeling of needle-tissue interaction and doesn’t cover automatic prediction or evaluation of aesthetic results in plastic or cancer surgery, so it’s outside the review’s scope."
Hugs: Human gaussian splats,"Kocabas, Muhammed and Chang, Jen-Hao Rick and Gabriel, James and Tuzel, Oncel and Ranjan, Anurag",2024,,,NOT_FOUND_IN_BIB.,FALSE,
Preoperative computer simulation in rhinoplasty using previous postoperative images,"Bashiri-Bawil, Mahdi and Rahavi-Ezabadi, Sara and Sadeghi, Mohammad and Zoroofi, Reza A and Amali, Amin",2020,Facial Plastic Surgery \& Aesthetic Medicine,"Mary Ann Liebert, Inc.","Preoperative computer simulation is a useful tool for rhinoplasty; however, it is difficult to create a simulation that reflects the patient’s wishes and the surgeon’s plan. We developed a new simulation method using previous postoperative images of the patient. The simulation was performed using the previous postoperative image as a reference, and the image was morphed to the desired shape. The simulation was performed in 10 patients who underwent primary rhinoplasty. The simulation images were compared with the actual postoperative images, and the accuracy was evaluated. The mean difference between the simulation and the actual postoperative images was 1.2 ± 0.4 mm. The patients and surgeons were satisfied with the simulation images. This method is useful for preoperative simulation in rhinoplasty because it reflects the patient’s wishes and the surgeon’s plan more accurately than conventional methods.",FALSE,
Subjective scar assessment scales in orthopaedic surgery and determinants of patient satisfaction: a systematic review of the literature,"Lastoria, Diego A Abelleyra and Benny, Clerin K and Hing, Caroline B",2023,Chinese Journal of Traumatology,Elsevier,"Background: Scars are an inevitable consequence of surgery and can have a significant impact on patients' quality of life. Subjective scar assessment scales are commonly used in orthopaedic surgery to evaluate scar appearance and patient satisfaction. This systematic review aims to summarize the available subjective scar assessment scales used in orthopaedic surgery and identify determinants of patient satisfaction with surgical scars.  Methods: A comprehensive literature search was conducted in multiple databases to identify studies that utilized subjective scar assessment scales in orthopaedic surgery and reported on factors influencing patient satisfaction. Data on the types of scales used, their psychometric properties, and determinants of satisfaction were extracted and analyzed.  Results: Several subjective scar assessment scales were identified, including the Patient and Observer Scar Assessment Scale (POSAS), Vancouver Scar Scale (VSS), and others. These scales vary in their focus on scar characteristics such as color, texture, and thickness, as well as patient-reported outcomes. Determinants of patient satisfaction included scar visibility, location, symptoms (e.g., pain, itching), and psychological impact. The POSAS was frequently used and demonstrated good reliability and validity.  Conclusions: Subjective scar assessment scales are valuable tools in orthopaedic surgery for evaluating scar outcomes and patient satisfaction. Understanding the determinants of satisfaction can guide surgical techniques and postoperative care to improve patient-centered outcomes. Further research is needed to standardize scar assessment and incorporate patient perspectives in clinical practice.  Keywords: Scar assessment, Orthopaedic surgery, Patient satisfaction, Subjective scales, Systematic review",FALSE,
Plastic hexahedral FEM for surgical simulation,Gao R.; Peters J.,2022,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-022-02742-9,"Purpose: Soft-tissue manipulations, such as collecting, stretching or tearing tissue, are a common component of surgery. When too much force is applied, these manipulations result in a residual plastic deformation that surgeons should be aware of and that should be modeled by surgical simulation. Methods: Many tissues, vessels and organs can be modeled as offsets of curved simple shapes with primary directions, e.g., radial and axial for cylinders yield a rectangular mesh whose normal offset naturally yields a hexahedral mesh that can serve as a thick shell. Other organs are easy to embed into and deform following a hex mesh. We extend existing code for the volumetric finite element method (FEM) to model tissue plasticity as hexahedral thick shells or embedded organs. Specifically, the work extends the open source Simulation Open Framework Architecture and its newest hyperelastic deformation addition, Caribou, with focus on surgical simulation. The extension factors deformation gradients into (corotational or hyperelastic) elastic factors and plastic factors and enforces volume preservation. Limits on per-element twist, twist torque, material hardening and bounds on plasticity where elements invert avoid the need for re-meshing. Results: Our hexahedral FEM avoids the biased outcomes of asymmetric coarsely-partitioned tetrahedral FEM. Caribou’s hyperelastic FEM is extended to hex-FEM stretching plasticity. Our high-order accurate blended-vertex deformation enables coarse hex meshes to model large plastic rotational and stretch deformations without re-meshing. We compare a vertex-blended to a cell-centered piecewise constant approach; contrast plasticity based on corotational FEM and hyperelastic FEM; and test the computation under mesh refinement. The volume is preserved also for large deformations. Conclusion: On-the-fly generated hexahedral meshes can directly be used as finite element domains for plastic deformation based on corotational or hyperelastic elasticity. The outcome is suitable for surgical simulation. © 2022, CARS.",FALSE,
Three-dimensional analysis of nasal symmetry following primary correction of unilateral cleft lip nasal deformity,"Linden, Olivia E and Taylor, Helena O and Vasudavan, Sivabalan and Byrne, Margaret E and Deutsch, Curtis K and Mulliken, John B and Sullivan, Stephen R",2017,The Cleft Palate-Craniofacial Journal,"SAGE Publications Sage CA: Los Angeles, CA","Objective: To evaluate nasal symmetry following primary correction of unilateral cleft lip nasal deformity using three-dimensional (3D) imaging. Design: Prospective cohort study. Setting: Tertiary care craniofacial center. Patients: Thirty patients with unilateral cleft lip nasal deformity who underwent primary nasal correction at the time of lip repair. Intervention: Primary nasal correction performed concurrently with cleft lip repair. Main Outcome Measures: 3D nasal surface imaging was performed preoperatively and at 1 year postoperatively. Nasal symmetry was assessed by comparing nasal surface area, nasal projection, and nostril dimensions between the cleft and noncleft sides. Results: At 1 year postoperatively, significant improvement in nasal symmetry was observed. The nasal surface area difference between the cleft and noncleft sides decreased from 15.2% preoperatively to 5.8% postoperatively (p < 0.001). Nasal projection and nostril dimensions also showed significant improvement, with no statistically significant difference between sides at 1 year. Conclusions: Primary nasal correction at the time of unilateral cleft lip repair results in significant improvement in nasal symmetry as objectively measured by 3D imaging. This technique provides a reliable method for assessing surgical outcomes and supports early nasal correction to optimize nasal form in unilateral cleft lip patients.",FALSE,
