title,author,year,journal,doi,abstract,rejected_by_full-text_screening,reason_for_full-text_screening
Computational modeling of vascular growth in patient-specific pulmonary arterial patch reconstructions,Lashkarinia S.S.; Coban G.; Kose B.; Salihoglu E.; Pekkan K.,2021,Journal of Biomechanics,10.1016/j.jbiomech.2021.110274,"Recent progress in vascular growth mechanics has involved the use of computational algorithms to address clinical problems with the use of three-dimensional patient specific geometries. The objective of this study is to establish a predictive computational model for the volumetric growth of pulmonary arterial (PA) tissue following complex cardiovascular patch reconstructive surgeries for congenital heart disease patients. For the first time in the literature, the growth mechanics and performance of artificial cardiovascular patches in contact with the growing PA tissue domain is established. An elastic-growing material model was developed in the open source FEBio software suite to first examine the surgical patch reconstruction process for an idealized main PA anatomy as a benchmark model and then for the patient-specific PA of a newborn. Following patch reconstruction, high levels of stress and strain are compensated by growth on the arterial tissue. As this growth progresses, the arterial tissue is predicted to stiffen to limit elastic deformations. We simulated this arterial growth up to the age of 18 years, when somatic growth plateaus. Our research findings show that the non-growing patch material remains in a low strain state throughout the simulation timeline, while experiencing high stress hot-spots. Arterial tissue growth along the surgical stitch lines is triggered mainly due to PA geometry and blood pressure, rather than due to material property differences in the artificial and native tissue. Thus, non-uniform growth patterns are observed along the arterial tissue proximal to the sutured boundaries. This computational approach is effective for the pre-surgical planning of complex patch surgeries to quantify the unbalanced growth of native arteries and artificial non-growing materials to develop optimal patch biomechanics for improved postoperative outcomes. © 2021",TRUE,Focuses on computational modeling for cardiovascular surgeries and doesn’t cover automatic prediction or evaluation of aesthetic results in plastic or cancer surgeries.
A Soft Multi‐Axis High Force Range Magnetic Tactile Sensor for Force Feedback in Robotic Surgical Systems,Rehan M.; Saleem M.M.; Tiwana M.I.; Shakoor R.I.; Cheung R.,2022,Sensors,10.3390/s22093500,"A Soft Multi‐Axis High Force Range Magnetic Tactile Sensor for Force Feedback in Robotic Surgical Systems  This paper presents a multi‐axis low‐cost soft magnetic tactile sensor with a high force range for force feedback in robotic surgical systems. The proposed sensor is designed to fully decouple the output response for normal, shear and angular forces. The proposed sensor is fabricated using rapid prototyping techniques and utilizes Neodymium magnets embedded in an elastomer over Hall sensors such that their displacement produces a voltage change that can be used to calculate the applied force. The initial spacing between the magnets and the Hall sensors is optimized to achieve a large displacement range using finite element method (FEM) simulations. The experimental characterization of the proposed sensor is performed for applied force in normal, shear and 45° angular direction. The force sensitivity of the proposed sensor in normal, shear and angular directions is 16 mV/N, 30 mV/N and 81 mV/N, respectively, with minimum mechanical crosstalk. The force range for the normal, shear and angular direction is obtained as 0–20 N, 0–3.5 N and 0–1.5 N, respectively. The proposed sensor shows a perfectly linear behavior and a low hysteresis error of 8.3%, making it suitable for tactile sensing and biomedical applications. The effect of the material properties of the elastomer on force ranges and sensitivity values of the proposed sensor is also discussed. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",TRUE,"Focuses on developing tactile sensors for robotic surgery, but doesn't cover automatic prediction or evaluation of aesthetic results in plastic or cancer-related surgeries, so it's not a fit."
A Biosynthetic Alternative to Human Amniotic Membrane for Use in Ocular Surface Surgery,Sahay P.; Behbehani M.; Filippini P.; Bruti G.; Townsend M.; McKean R.; Dua H.S.,2024,Translational Vision Science and Technology,10.1167/tvst.13.5.3,"Purpose: The biosynthetic Symatix membrane (SM) was developed to replace fresh human amniotic membrane (hAM) in ocular surgical applications. The purpose of this study was to test the biocompatibility of the SM with human limbus–derived epithelial cells with regard to their physical and biological properties. Methods: Different physical properties of SM were tested ex vivo by simulation on human corneas. In vitro, primary limbal epithelial cells from limbal explants were used to test biological properties such as cell migration, proliferation, metabolic activity, and limbal epithelial cell markers on the SM, hAM, and freeze-dried amniotic membrane (FDAM). Results: The surgical handleability of the SM was equivalent to that of the hAM. Ultrastructural and histological studies demonstrated that epithelial cells on the SM had the typical tightly apposed, polygonal, corneal epithelial cell morphology. The epithelial cells were well stratified on the SM, unlike on the hAM and FDAM. Rapid wound healing occurred on the SM within 3 days. Immunofluorescence studies showed positive expression of CK-19, Col-1, laminin, ZO-1, FN, and p-63 on the SM, plastic, and FDAM compared to positive expression of ZO-1, Col-1, laminin, FN, and p63 and negative expression of CK-19 in the hAM. Conclusions: These results indicate that the SM is a better substrate for limbal epithelial cell migration, proliferation, and tight junction formation. Altogether, the SM can provide a suitable alternative to the hAM for surgical application in sight-restoring operations. Translational Relevance: The hAM, currently widely used in ocular surface surgery, has numerous variations and limitations. The biocompatibility of corneal epithelial cells with the SM demonstrated in this study suggests that it can be a viable substitute for the hAM. © 2024 The Authors.",TRUE,"Focuses solely on biocompatibility and wound healing in eye surgery, without touching on automatic prediction or assessing aesthetic results."
On interaction between fatigue of reconstruction plate and time-dependent bone remodeling,Wan B.; Yoda N.; Zheng K.; Zhang Z.; Wu C.; Clark J.; Sasaki K.; Swain M.; Li Q.,2022,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2022.105483,"Background and objective: The fibula free flap (FFF) has been extensively used to repair large segmental bone defects in the maxillofacial region. The reconstruction plate plays a key role in maintaining stability and load-sharing while the fibula unites with adjacent bone in the course of healing and remodeling. However, not all fibula flaps would fully unite, and fatigue of prosthetic devices has been recognized as one major concern for long-term load-bearing applications. This study aims to develop a numerical approach for predicting the fatigue life of the reconstruction plate by taking into account the effect of ongoing bone remodeling. Methods: The patient-specific mandible reconstruction with a prosthetic system is studied in this work. The 3D finite element model with heterogeneous material properties obtained from clinical computerized tomography (CT) data is developed for bone, and eXtended Finite Element Method (XFEM) is adopted for the fatigue analysis of the plate. During the remodeling process, the changing apparent density and Young's modulus of bone are simulated in a step-wise fashion on the basis of Wolff's law, which is correlated with the specific clinical follow-up. The maximum biting forces were considered as the driving force on the bone remodeling, which are measured clinically at different time points (4, 16 and 28 months) after reconstruction surgery. Results: Under various occlusal loadings, the interaction between fatigue crack growth and bone remodeling is investigated to gain new insights for the future design of prosthetic devices. The simulation results reveal that appropriate remodeling of grafted bone could extend the fatigue life of fixation plates in a positive way. On the other hand, the rising occlusal load associated with healing and remodeling could lead to fatigue fracture of fixation plate and potentially cause severe bone resorption. Conclusion: This study proposes an effective approach for more realistically predicting fatigue life of prosthetic devices subject to a tissue remodeling condition in-silico. It is anticipated to provide a guideline for deriving an optimal design of patient-specific prosthetic devices to better ensure longevity. © 2022 Elsevier Ltd",TRUE,"Focuses on biomechanical fatigue and bone remodeling rather than on predicting or assessing aesthetic results in plastic or cancer surgery, so it doesn't fit the review's topic."
The effect of bone plasticity models on simulations of primary fixation in total knee arthroplasty,Soltanihafshejani N.; Bitter T.; Verdonschot N.; Janssen D.,2025,Medical Engineering and Physics,10.1016/j.medengphy.2025.104329,"Predictions of primary fixation in total knee arthroplasty (TKA) can aid in implant design, optimizing long-term survival. Finite element (FE) simulations are commonly used to assess micromotions at the bone-implant interface during daily activities, requiring accurate computational models. A key factor is the material model used to simulate bone properties. This study evaluated two plastic material models—Isotropic Crushable Foam (ICF) and softening Von-Mises (sVM)—for predicting primary fixation in femoral TKA components. Mechanical tests on human femoral trabecular bone samples under cyclic loading were replicated using FE simulations with ICF and sVM models. These models were then applied to FE simulations of three femoral TKA reconstructions, representing patients aged 57, 73, and 90 years. The ICF model replicated the gradual plastic deformation observed in experiments, unlike the sVM model, and more closely matched the permanent deformation of bone samples. In primary fixation simulations, micromotions at the bone-implant interface averaged 27 µm with ICF and 17 µm with sVM. While both predictions fall within acceptable ranges, the ICF model, as a pressure-dependent material model, more accurately replicates experimental energy dissipation and plastic deformation patterns, closely mirroring human bone's plastic behavior. This makes it better suited for simulating implant-bone interface micromotions in primary TKA fixation. © 2025 The Author(s)",TRUE,"Focuses on biomechanical simulations for knee implants and doesn't cover automatic prediction or assessment of aesthetic results in plastic or cancer-related surgery, which is what the review is about."
3d-printed sacral reconstruction prosthesis from multiscale topology optimization: A comprehensive numerical assessment of mechanical stability,Jitkla N.; Pinyonitikasem A.; Wiwatsuwan P.; Pairojboriboon S.; Promoppatum P.,2025,Computers in Biology and Medicine,10.1016/j.compbiomed.2024.109562,"Sacral chordoma, an invasive tumor, necessitates surgical removal of the tumor and the affected region of the sacrum, disrupting the spinopelvic connection. Conventional reconstruction methods, relying on rod and screw systems, often face challenges such as rod failure, sub-optimal stability, and limited osseointegration. This study proposes a novel design for a porous-based sacral reconstruction prosthesis. The design framework involves a two-step topology optimization (TO) process. The first TO step is utilized to obtain the external shape of a patient-specific prosthesis, while the second TO step determines varied density fields. These fields are later integrated with graded Gyroid structures to generate the porous-based sacral prosthesis. Finite element simulations reveal several benefits of the newly developed device. Firstly, considering only solid-based TO tends to result in a highly rigid spinal movement, which may not be entirely favorable. However, the porous-based technique allows for a wider design space, enabling the sacral device's stiffness to be more comprehensively engineered. Secondly, with porous integration, the prosthesis shows potential for promoting bone integration over time, thereby providing further biological fixation and improving long-term structural stability. Thirdly, the porous-based prosthesis outperforms conventional methods such as four-rod reconstruction (FRR) and four-rod plus anterior column reconstruction (FRACR) by reducing maximum von Mises stress in the instruments by approximately 50–80 %. In summary, this study demonstrates how a two-step TO framework can create a superior sacral prosthesis, enhancing its mechanical performance and impact on spinopelvic stability. This suggests potential improvement for similar orthopedic devices in the future. © 2024 Elsevier Ltd",TRUE,"Focuses solely on mechanical stability and structural design of sacral prostheses, without covering automatic prediction or assessment of how surgical outcomes look."
Modeling fibrous soft tissue dissection with elastic-plastic deformation for simulation of brain tumor removal,Li Z.; Liu P.X.; Hou W.,2023,Computer Methods and Programs in Biomedicine,10.1016/j.cmpb.2023.107420,"Background and objective: Realistic modeling the dissection of brain tissue is of key importance for simulation of brain tumor removal in virtual neurosurgery systems. However, existing methods are unable to characterize inelastic behaviors of brain tissue, such as plastic deformation and dissection evolution, making it ineffective in simulating brain tumor removal procedures. Methods: In this paper, a model of fibrous soft tissue dissection for the simulation of brain tumor removal is proposed. A dissection variable of representative volume element is used to characterize the dissection state of the fibrous soft tissue. The evolution of dissection with elastic-plastic deformation under the effects of external loads is presented. Results: Simulation results show that the proposed model provides realistic, stable and intuitive results in the simulation of fracture in fibrous soft tissues. As the external load increases, the fibrous soft tissue begins to crack, with the cracks growing and multiplying until they eventually merge to form a fracture. The proposed model is incorporated into the simulation of brain tumor removal. Conclusions: The experimental results demonstrate the feasibility of modeling fibrous soft tissue dissection with elastic-plastic deformation. A relative high degree of realistic visual feedback is achieved. © 2023 Elsevier B.V.",TRUE,"Focuses on surgical training simulations instead of predicting or evaluating aesthetic results, so it doesn't fit the review’s topic."
A new deformation simulation algorithm for elastic-plastic objects based on splat primitives,Zou Y.; Liu P.X.,2017,Computers in Biology and Medicine,10.1016/j.compbiomed.2017.02.007,"To achieve high computational efficiency and realistic visual effects, a new simulation algorithm for soft tissue deformation, which is based on a shape-matching scheme using splat primitives, is presented for interactive real-time applications, such as surgery simulation and video games. The most important novelty of the proposed approach lies in the fact that surface splats instead of points are employed in the computation of the deformation and fracturing of an elastic-plastic object. By controlling the sampling density and automatically adjusting the size of the circular splats, the surface of the simulated object can be seamlessly covered with a much small number of splats than points. Splats are then divided into clusters using the K-Means clustering algorithm. As a result, the elastic-plastic deformation of these clusters can be simulated using a shape-matching strategy, allowing more degrees of freedom (DOFs) in the simulation. Experimental results demonstrate that the proposed algorithm enormously reduces memory space and greatly improves computational efficiency (approximately twice in simulating plastic deformations compared with classical shape-matching methods), making it more suitable for interactive and real-time applications. © 2017 Elsevier Ltd",TRUE,"Focuses on simulating soft tissue movement for interactive use, not on automatically predicting or evaluating surgical aesthetic results."
Evaluation of sternum closure methods by means of a nonlinear finite element analysis,Orhan S.N.; Ozyazicioglu M.H.,2019,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",10.1177/0954411919880703,"The main purpose of this study is to develop a validated three-dimensional finite element model of sternum closure techniques. For this aim, the finite element method analysis results of three closure methods were compared with experimental test results. Also, three more closure techniques are simulated numerically to study the effect of the number of wires used in the manubrium and xiphoid regions. A three-dimensional model of polyurethane sternum foam was created based on computed tomography images. Six different closure techniques using steel wire, steel bands and ZipFix bands were modeled on the sternum and transferred into a three-dimensional finite element model. The sternum was modeled as an isotropic bilinear-elasto-plastic material, and nonlinear contact conditions were applied. The models were analyzed under lateral distraction loading, and load-displacement curves were obtained from displacements at the incision line. Allowable loads and stiffness values of the methods were evaluated from these curves. The results showed the importance of the including material as well as geometric nonlinearities in the simulations to obtain realistic results from the numerical analyses. Also, the analyses showed that closures that include steel or ZipFix bands are superior to conventional wiring, and addition of a single wire at the manubrium and xiphoid regions significantly improved the efficiency of the closure techniques. © IMechE 2019.",TRUE,"Focuses on biomechanical testing of sternum closure methods without covering automatic prediction or evaluation of aesthetic results, which doesn't match the topic of aesthetic assessment in plastic and cancer-related surgery."
Tool to visualize and evaluate operator proficiency in laser hair-removal treatments,Noh S.; Koh W.S.; Lim H.-W.; Yoon C.; Kim Y.; Chung J.H.; Kim H.C.; Kim S.,2014,BioMedical Engineering Online,10.1186/1475-925X-13-40,"Background: The uniform delivery of laser energy is particularly important for safe and effective laser hair removal (LHR) treatment. Although it is necessary to quantitatively assess the spatial distribution of the delivered laser, laser spots are difficult to trace owing to a lack of visual cues. This study proposes a novel preclinic tool to evaluate operator proficiency in LHR treatment and applies this tool to train novice operators and compare two different treatment techniques (sliding versus spot-by-spot). Methods: A simulation bed is constructed to visualize the irradiated laser spots. Six novice operators are recruited to perform four sessions of simulation while changing the treatment techniques and the presence of feedback (sliding without feedback, sliding with feedback, spot-by-spot without feedback, and spot-by-spot with feedback). Laser distribution maps (LDMs) are reconstructed through a series of images processed from the recorded video for each simulation session. Then, an experienced dermatologist classifies the collected LDMs into three different performance groups, which are quantitatively analyzed in terms of four performance indices. Results: The performance groups are characterized by using a combination of four proposed indices. The best-performing group exhibited the lowest amount of randomness in laser delivery and accurate estimation of mean spot distances. The training was only effective in the sliding treatment technique. After the training, omission errors decreased by 6.32% and better estimation of the mean spot distance of the actual size of the laser-emitting window was achieved. Gels required operators to be trained when the spot-by-spot technique was used, and imposed difficulties in maintaining regular laser delivery when the sliding technique was used. Conclusions: Because the proposed system is simple and highly affordable, it is expected to benefit many operators in clinics to train and maintain skilled performance in LHR treatment, which will eventually lead to accomplishing a uniform laser delivery for safe and effective LHR treatment. © 2014 Noh et al.; licensee BioMed Central Ltd.",TRUE,Focuses on training skills for laser hair removal instead of using automation to predict or assess aesthetic results in plastic or cancer-related surgery.
