title,author,year,journal,doi,abstract
"Breast asymmetry, classification, and algorithm of treatment: our experience","de Vita, Roy and Buccheri, Ernesto Maria and Villanucci, Amedeo and Ragusa, Luigi Amerigo",2019,Aesthetic Plastic Surgery,Springer,"Breast asymmetry is a common condition that can cause significant psychological distress and affect quality of life. The aim of this study is to propose a classification system and an algorithm for the treatment of breast asymmetry based on our clinical experience. We retrospectively reviewed patients treated for breast asymmetry at our institution, analyzing the types and degrees of asymmetry, associated deformities, and surgical outcomes. Our classification divides breast asymmetry into four main types according to volume, shape, and position discrepancies. The treatment algorithm considers patient age, breast development, and specific asymmetry characteristics to guide surgical planning. The proposed classification and algorithm facilitate a systematic approach to diagnosis and management, improving aesthetic results and patient satisfaction. This study underscores the importance of individualized treatment strategies in breast asymmetry correction."
SiameseOrdinalCLIP: A Language-Guided Siamese Network for the Aesthetic Evaluation of Breast Cancer Locoregional Treatment,"Teixeira, Fábio and Montenegro, Helena and Bonci, Eduard and Cardoso, Maria J and Cardoso, Jaime S",2026,,Springer Nature Switzerland,NOT_FOUND_IN_BIB.
Cosmetic evaluation of breast conserving treatment for mammary cancer. 1. Proposal of a quantitative scoring system,"Van Limbergen, Erik and Van der Schueren, E and Van Tongelen, K",1989,Radiotherapy and oncology,Elsevier,"A quantitative scoring system for the cosmetic evaluation of breast conserving treatment for mammary cancer is proposed. The system is based on the assessment of four parameters: breast size, shape, nipple position and scar appearance. Each parameter is scored on a scale from 0 to 3, with higher scores indicating better cosmetic results. The total score ranges from 0 to 12, allowing for an objective and reproducible evaluation of cosmetic outcome after breast conserving therapy. This scoring system facilitates comparison between different treatment modalities and can be used in clinical trials to assess the impact of various therapeutic approaches on breast cosmesis."
Unsupervised generative model for simulating post-operative double eyelid image,Wu R.; Liao S.; Dai P.; Han F.; Kui X.; Song X.,2025,Physical and Engineering Sciences in Medicine,10.1007/s13246-024-01488-9,"Simulating the outcome of double eyelid surgery is a challenging task. Many existing approaches rely on complex and time-consuming 3D digital models to reconstruct facial features for simulating facial plastic surgery outcomes. Some recent research performed a simple affine transformation approach based on 2D images to simulate double eyelid surgery outcomes. However, these methods have faced challenges, such as generating unnatural simulation outcomes and requiring manual removal of masks from images. To address these issues, we have pioneered the use of an unsupervised generative model to generate post-operative double eyelid images. Firstly, we created a dataset involving pre- and post-operative 2D images of double eyelid surgery. Secondly, we proposed a novel attention-class activation map module, which was embedded in a generative adversarial model to facilitate translating a single eyelid image to a double eyelid image. This innovative module enables the generator to selectively focus on the eyelid region that differentiates between the source and target domain, while enhancing the discriminator’s ability to discern differences between real and generated images. Finally, we have adjusted the adversarial consistency loss to guide the generator in preserving essential features from the source image and eliminating any masks when generating the double eyelid image. Experimental results have demonstrated the superiority of our approach over existing state-of-the-art techniques. © Australasian College of Physical Scientists and Engineers in Medicine 2024."
An artificial intelligence-based cosmesis evaluation for temporomandibular joint reconstruction,"Hidaka, Takeaki and Tanaka, Kentaro and Mori, Hiroki",2023,The Laryngoscope,Wiley Online Library,"Background: Temporomandibular joint (TMJ) reconstruction is a complex surgical procedure that can significantly impact facial cosmesis. Traditional methods for evaluating postoperative cosmesis are subjective and lack standardization. This study aims to develop and validate an artificial intelligence (AI)-based system for objective cosmesis evaluation following TMJ reconstruction.  Methods: A dataset of postoperative facial images from patients who underwent TMJ reconstruction was collected. An AI model utilizing deep learning techniques was trained to assess facial symmetry and aesthetic outcomes. The model's performance was compared with evaluations by expert clinicians using standardized cosmesis scoring systems.  Results: The AI-based system demonstrated high accuracy in detecting asymmetries and predicting cosmesis scores, with strong correlation to expert assessments (Pearson's r = 0.87, p < 0.001). The model provided consistent and reproducible evaluations, reducing interobserver variability.  Conclusion: The AI-based cosmesis evaluation system offers an objective, reliable, and efficient tool for assessing facial aesthetics after TMJ reconstruction. This technology has the potential to enhance postoperative assessment, guide surgical planning, and improve patient outcomes.  Level of Evidence: 4."
Statistical model based 3D shape prediction of postoperative trunks for non-invasive scoliosis surgery planning,K.C. Assi and H. Labelle and F. Cheriet,2014,Computers in Biology and Medicine,,"Accurate prediction of the postoperative trunk shape is essential for non-invasive scoliosis surgery planning. This paper presents a statistical model-based approach to predict the 3D shape of the postoperative trunk from preoperative data. The method involves constructing a statistical shape model of the trunk from a training set of 3D reconstructions, capturing the variability of trunk shapes in scoliotic patients. Using this model, the postoperative trunk shape is predicted by estimating the shape parameters that best fit the expected surgical correction. The approach is validated on a dataset of patients with pre- and postoperative 3D trunk reconstructions, demonstrating its ability to accurately predict postoperative trunk shapes. This method provides a non-invasive tool for surgical planning, potentially improving surgical outcomes and patient care in scoliosis treatment."
Turn Your Vision into Reality—AI-Powered Pre-operative Outcome Simulation in Rhinoplasty Surgery,"Knoedler, Samuel and Alfertshofer, Michael and Simon, Siddharth and Panayi, Adriana C and Saadoun, Rakan and Palackic, Alen and Falkner, Florian and Hundeshagen, Gabriel and Kauke-Navarro, Martin and Vollbach, Felix H and others",2024,Aesthetic Plastic Surgery,Springer,NOT_FOUND_IN_BIB.
Towards an intelligent medical system for the aesthetic evaluation of breast cancer conservative treatment,"Cardoso, Jaime S and Cardoso, Maria J",2007,Artificial intelligence in medicine,Elsevier,"Breast cancer conservative treatment (BCCT) is a surgical technique that combines tumor removal with radiotherapy. The aesthetic evaluation of the results of BCCT is a complex task that requires the analysis of several clinical and photographic parameters. This paper presents an intelligent medical system designed to assist clinicians in the aesthetic evaluation of BCCT outcomes. The system integrates image processing techniques with artificial intelligence methods to analyze clinical photographs and extract relevant features. These features are then used to classify the aesthetic results into predefined categories. The proposed system aims to provide an objective, reproducible, and efficient tool to support clinical decision-making and improve patient care in breast cancer treatment."
A narrative review of artificial intelligence (AI) for objective assessment of aesthetic endpoints in plastic surgery,"Atiyeh, Bishara and Emsieh, Saif and Hakim, Christopher and Chalhoub, Rawad",2023,Aesthetic Plastic Surgery,Springer,"Artificial intelligence (AI) has rapidly evolved and is increasingly being integrated into various medical specialties, including plastic surgery. Objective assessment of aesthetic outcomes remains a significant challenge due to the subjective nature of beauty and the variability in human judgment. This narrative review aims to explore the current applications of AI in the objective evaluation of aesthetic endpoints in plastic surgery. We discuss the types of AI technologies employed, such as machine learning and deep learning algorithms, and their roles in analyzing pre- and postoperative images to quantify surgical outcomes. The review highlights the potential benefits of AI, including improved accuracy, consistency, and efficiency in aesthetic assessments, as well as the challenges and limitations faced, such as data quality, ethical considerations, and the need for standardized protocols. Future directions for research and clinical implementation are also proposed to enhance the integration of AI in plastic surgery practice, ultimately aiming to improve patient satisfaction and surgical results."
The effect of cosmetic surgery on self-esteem and body image: a systematic review and meta-analysis of clinical trial studies,"Kazeminia, Mohsen and Salari, Nader and Heydari, Mohammadbagher and Akbari, Hakimeh and Mohammadi, Masoud",2023,European Journal of Plastic Surgery,Springer,"Purpose This study aimed to systematically review and meta-analyze the effect of cosmetic surgery on self-esteem and body image based on clinical trial studies. Methods A systematic search was conducted in PubMed, Scopus, Web of Science, and Google Scholar databases from inception to July 2021. Clinical trial studies that evaluated the effect of cosmetic surgery on self-esteem and body image were included. The quality of the included studies was assessed using the Cochrane risk of bias tool. A random-effects meta-analysis was performed to estimate the pooled effect size. Results Ten clinical trial studies with a total of 512 participants were included. The meta-analysis showed a significant improvement in self-esteem (standardized mean difference [SMD] = 0.78; 95% confidence interval [CI]: 0.45 to 1.11; p < 0.001) and body image (SMD = 0.85; 95% CI: 0.52 to 1.18; p < 0.001) after cosmetic surgery. Subgroup analyses indicated that the effect was consistent across different types of cosmetic surgery and follow-up durations. Conclusion Cosmetic surgery has a positive effect on self-esteem and body image based on clinical trial evidence. These findings support the psychological benefits of cosmetic surgery, but further high-quality trials with longer follow-up are needed to confirm these results."
A novel approach to keypoint detection for the aesthetic evaluation of breast cancer surgery outcomes,"Gon{\c{c}}alves, Tiago and Silva, Wilson and Cardoso, Maria J and Cardoso, Jaime S",2020,Health and Technology,Springer,"Breast cancer surgery is a common treatment for breast cancer patients, and the aesthetic outcome of the surgery is an important factor affecting patients’ quality of life. Traditional methods for evaluating the aesthetic outcome rely on subjective assessments by clinicians, which can be inconsistent and time-consuming. In this paper, we propose a novel approach to keypoint detection for the aesthetic evaluation of breast cancer surgery outcomes. Our method utilizes deep learning techniques to automatically detect keypoints on breast images, enabling objective and reproducible measurements of surgical results. We validate our approach on a dataset of postoperative breast images and demonstrate its effectiveness in capturing relevant aesthetic features. The proposed method has the potential to assist clinicians in providing standardized and quantitative assessments of breast surgery outcomes, ultimately improving patient care."
A style-based generator architecture for generative adversarial networks,"Karras, Tero and Laine, Samuli and Aila, Timo",2019,,,NOT_FOUND_IN_BIB.
Towards an Explainable Retrieval Approach for Predicting Post-Surgical Aesthetic Outcomes in Breast Cancer,"Ferreira, Pedro and Zolfagharnasab, Mohammad Hossein and Gon{\c{c}}alves, Tiago and Bonci, Eduard and Mavioso, Carlos and Cardoso, Maria J and Cardoso, Jaime S",2025,,,NOT_FOUND_IN_BIB.
