title,author,year,journal,doi,abstract,rejected_by_qualitive_screening,reason_for_qualitive_screening
Statistical and individual characteristics-based reconstruction for craniomaxillofacial surgery,Han B.; Jie B.; Zhou L.; Huang T.; Li R.; Ma L.; Zhang X.; Zhang Y.; He Y.; Liao H.,2022,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-022-02626-y,"Purpose: In craniomaxillofacial (CMF) surgery planning, a preoperative reconstruction of the CMF reference model is crucial for surgical restoration, especially the reconstruction of bilateral defects. Current reconstruction algorithms mainly generate reference models from the image analysis aspect, however, clinical indicators of the CMF reference model mostly consider the distribution of anatomical landmarks. Generating a reference model with optimal clinical evaluation helps promote the feasibility of an algorithm. Methods: We first build a dataset with 100 normal skull models and then calculate a statistical shape model (SSM) and the distribution of normal cephalometric values, which indicate the statistical features of a population. To further generate personalized reference models, we apply non-rigid registration to align the SSM with the defect skull model. An evaluation standard to select the optimal reference model considers both global performance and anatomical evaluation. Moreover, we develop a landmark detection network to improve the automatic level of the algorithm. Results: The proposed method performs better than methods including Iterative Closest Point and SSM. From a global evaluation aspect, the results show that the RMSE between the reference model and the ground truth is 1.71 ± 0.23 mm, the percentage of vertices with error below 2 mm is 85 ± 4 % and the average faces distance is 1.38 ± 0.20 mm (better than the state-of-the-art method). From the anatomical evaluation aspect, the target registration error between the landmark pairs is 4.12 ± 2.27 mm. In addition, the clinical application confirms that the reference model can meet clinical requirements. Conclusion: To the best of our knowledge, we propose the first CMF reconstruction method considering the global performance of reconstruction and anatomically local evaluation from clinical experience. Simulated experiments and clinical cases prove the general applicability and strength of the method. © 2022, CARS.",TRUE,"Focuses on surgical reconstruction accuracy but doesn’t cover automatic prediction or assessment of aesthetic results, which is the main topic here."
3D Facial Plastic Surgery Simulation: Based on the Structured Light,Rao Z.; Sun S.; Li M.; Ji X.; Huang J.,2023,Applied Sciences (Switzerland),10.3390/app13010659,"3D quantitative analysis of facial morphology is of importance in plastic surgery (PS), which could help surgeons design appropriate procedures before conducting the surgery. We propose a system to simulate and guide the shaping effect analysis, which could produce a similar but more harmonious face simulation. To this end, first, the depth camera based on structured light coding is employed for facial 3D data acquisition, from which the point cloud data of multiple facial perspectives could be obtained. Next, the cascade regression tree algorithm is used to extract the esthetic key points of the face model and to calculate the facial features composed of the key points, such as the nose, chin, and eyes. Quantitative facial esthetic indexes are offered to doctors to simulate PS. Afterward, we exploit a face mesh metamorphosis based on finite elements. We design several morphing operators, including augmentation, cutting, and lacerating. Finally, the regional deformation is detected, and the operation effect is quantitatively evaluated by registering the 3D scanning model before and after the operation. The test of our proposed system and the simulation of PS operations find that the measurement error of facial geometric features is 0.458 mm, and the area is 0.65 mm2. The ratings of the simulation outcomes provided by panels of PS prove that the system is effective. The manipulated 3D faces are deemed more beautiful compared to the original faces respecting the beauty canons such as facial symmetry and the golden ratio. The proposed algorithm could generate realistic visual effects of PS simulation. It could thus assist the preoperative planning of facial PS. © 2023 by the authors.",TRUE,"Focuses on 3D simulation for planning but doesn’t include automated predictions or objective assessments of post-surgery aesthetics, so it falls outside the review’s focus on automated outcome evaluation."
Finite element analysis of biplanar customized reconstruction plates for lateral and central segmental defects of mandible,Demir E.; Yalçın G.; Kalaycı A.,2024,Computer Methods in Biomechanics and Biomedical Engineering,10.1080/10255842.2023.2188105,"The purpose of this study is to compare biplanar custom mandibular reconstruction plates with locking reconstruction plates in bridging central and lateral mandibular segmental defects by using the finite element method. Central and two different types of lateral segmental defects were created on mandibular model that was generated from computed tomography of a male patient. Segmental defects were fixed with conventional locking reconstruction plates and two different custom designed plates with caudobuccal and dorsobuccal cover. Stress formation on hardware and screws, strain on bone under masticatory simulation were evaluated with a finite element model. The stress values on plate and screws were higher in conventional reconstruction plate than custom plates. Simulations of central segmental defect revealed maximum von Mises stresses of 643.62 MPa and 101.83 MPa in conventional reconstruction plate and biplanar plate, respectively. Biplanar plates revealed slightly higher von Mises stresses than extended surfaced biplanar plates. The screws close to resection area were exposed to higher stress than farther screws for whole groups. In conventional reconstruction plate, the maximum von Mises stress values of fixation screws were 268.66 MPa and 95 MPa for central segmental defect and lateral segmental defect, respectively. The study reveals that the biplanar custom reconstruction plates had a favourable effect on stress distribution and can enhance function and aesthetics as supporting mandible and flaps from two different planes. © 2023 Informa UK Limited, trading as Taylor & Francis Group.",TRUE,"Focuses on biomechanical analysis of jaw reconstruction plates and doesn't cover automatic prediction or evaluation of aesthetic results, so it doesn't fit the review on aesthetic assessment in plastic and cancer surgery."
The Association Between Geometry and Wall Stress in Emergently Repaired Abdominal Aortic Aneurysms,Chauhan S.S.; Gutierrez C.A.; Thirugnanasambandam M.; De Oliveira V.; Muluk S.C.; Eskandari M.K.; Finol E.A.,2017,Annals of Biomedical Engineering,10.1007/s10439-017-1837-1,"Abdominal aortic aneurysm (AAA) is a prevalent cardiovascular disease characterized by the focal dilation of the aorta, which supplies blood to all the organs and tissues in the systemic circulation. With the AAA increasing in diameter over time, the risk of aneurysm rupture is generally associated with the size of the aneurysm. If diagnosed on time, intervention is recommended to prevent AAA rupture. The criterion to decide on surgical intervention is determined by measuring the maximum diameter of the aneurysm relative to the critical value of 5.5 cm. However, a more reliable approach could be based on understanding the biomechanical behavior of the aneurysmal wall. In addition, geometric features that are proven to be significant predictors of the AAA wall mechanics could be used as surrogates of the AAA biomechanical behavior and, subsequently, of the aneurysm’s risk of rupture. The aim of this work is to identify those geometric indices that have a high correlation with AAA wall stress in the population of patients who received an emergent repair of their aneurysm. In-house segmentation and meshing algorithms were used to model 75 AAAs followed by estimation of the spatially distributed wall stress by performing finite element analysis. Fifty-two shape and size geometric indices were calculated for the same models using MATLAB scripting. Hypotheses testing were carried out to identify the indices significantly correlated with wall stress by constructing a Pearson’s correlation coefficient matrix. The analyses revealed that 12 indices displayed high correlation with the wall stress, amongst which wall thickness and curvature-based indices exhibited the highest correlations. Stepwise regression analysis of these correlated indices indicated that wall stress can be predicted by the following four indices with an accuracy of 76%: maximum aneurysm diameter, aneurysm sac length, average wall thickness at the maximum diameter cross-section, and the median of the wall thickness variance. The primary outcome of this work emphasizes the use of global measures of size and wall thickness as geometric surrogates of wall stress for emergently repaired AAAs. © 2017, Biomedical Engineering Society.",TRUE,"Focuses on biomechanical analysis of abdominal aortic aneurysms without covering automatic prediction or aesthetic outcome evaluation in plastic or cancer surgery, so it doesn’t fit the review’s scope."
Angle measurement technology based on magnetization vector for narrow space applications,Huang Y.; Zhang S.; Gao L.; Zheng Y.,2020,Nanotechnology and Precision Engineering,10.1016/j.npe.2020.09.001,"With the wide application of laser in the field of skin plastic surgery, micro laser galvanometer scanner has made great progress in this field with its portability. However, the measurement method used to measure the deflection angle of laser galvanometer in the narrow space of scanner with high precision remains to be studied. In this paper, an angle measurement method based on magnetic field is proposed, and the effect of the shapes of permanent magnets (PMs) on the measurement is studied by theoretical and experimental study under the condition that the maximum available space for the PMs is a 10mm side cube. An angle measuring experimental device is set up, and the contrast experiment is carried out with different PMs which are the same as simulation. The experimental results show that cylindrical PM is more suitable than other PMs, which is consistent with the simulation results, and the maximum nonlinearity error is 0.562%. This method has the advantages of small volume, non-contact measurement, small moment of inertia, good dynamic response and no external excitation for the PMs, so it has a broad application prospect in micro laser galvanometer scanner. Copyright © 2020 Tianjin University. Publishing Service by Elsevier B.V. on behalf of KeAi Communications Co., Ltd.",TRUE,"Focuses on laser scanner angle measurements without covering automatic prediction or assessment of aesthetic results in plastic or cancer surgery, which falls outside the review's scope."
3D Reconstruction Model of an Extra-Abdominal Desmoid Tumor: A Case Study,Marinozzi F.; Carleo F.; Novelli S.; Di Martino M.; Cardillo G.; Petrella L.; Bini F.,2020,Frontiers in Bioengineering and Biotechnology,10.3389/fbioe.2020.00518,"In recent years, three-dimensional reconstruction (3DR) models have become a standard tool in several medical fields such as education, surgical training simulation, patient–doctor communication, and surgical planning. Postoncologic reconstructive surgery in thoracic diseases might benefit from 3DR models; however, limited data on this application have been published worldwide. In this paper, the aim was to report our experience with 3DR modeling to determine resection and plan the surgical reconstruction in a patient with a desmoid tumor of the chest wall. For a better understanding of the case study, we describe all the steps from acquiring computed tomography (CT) scans to the final 3D rendering. A 68-year-old, non-smoking man presented at our outpatient department with painless swelling of the right anterobasal chest wall. A thorax–abdomen–brain CT scan revealed homogenous solid tissue with a dense mass measuring 80 mm × 62 mm. The final 3D model was evaluated by the surgical team (three medical doctors), who found the model to be powerful. Based on the results and the accuracy of the model, the multidisciplinary team decided that the tumor was resectable. Consequently, a surgical plan based on the 3D model was developed to perform chest wall reconstruction after radical resection. The patient underwent right anterolateral thoracotomy at the seventh intercostal space, which confirmed the CT scan findings and revealed infiltration of the serratus muscle and medial portion of the diaphragm. A radical tumor en bloc resection with chest wall and diaphragm resection was performed. The full-thickness chest wall and diaphragm defects were reconstructed using two separate biological patches of a porcine dermal collagen implant (Permacol™ Surgical Implant). Postoperative X-ray revealed unremarkable findings; the patient had an uneventful recovery and was discharged 6 days after surgery. This case study illustrates that 3DR models enable a personalized approach to the treatment of desmoid tumors. Therefore, this approach should be developed further and studied systematically. © Copyright © 2020 Marinozzi, Carleo, Novelli, Di Martino, Cardillo, Petrella and Bini.",TRUE,"Focuses on just one case study and lacks objective or automated ways to assess aesthetics, so it doesn’t fit the review’s goal of covering automatic prediction and evaluation methods in surgery."
Effect of femoral tunnel positions on graft stress in outside-in ACL reconstruction surgery during continuous knee motion: A simulation study,Kang K.; Bae T.S.,2017,International Journal of Medical Robotics and Computer Assisted Surgery,10.1002/rcs.1817,"Background:: Previous studies regarding the optimal femoral tunnel location for an anterior cruciate ligament (ACL) reconstruction were based on static experiments at specific angles, and did not consider continuous motion of the knee. Methods:: Twenty-four surgical sites were set and continuous kinematic data, obtained from motion analysis, was used to describe knee movement. The bending angle and stress of the ACL graft as well as the length of the femoral tunnel was calculated through multi-flexible body dynamics analysis. Results:: The lowest stress was found at both 5 mm and 10 mm radius at a proximal posterior of 45°, and the highest stress was also found at a distal 15 mm radius. Relatively high stresses were also identified between the distal and anterior regions as well as the distal and posterior regions at 15 mm radius. Conclusion:: Considering the availability of surgery, it was identified that the optimum femoral tunnel location is at 10 mm radius locations at a proximal posterior of 45°. Copyright © 2017 John Wiley & Sons, Ltd.",TRUE,"Focuses on ACL reconstruction biomechanics but doesn't cover aesthetic outcome prediction, so it doesn't match the review's focus on automatic aesthetic assessments in plastic and cancer surgeries."
Finite element analysis of customized reconstruction plates for mandibular continuity defect therapy,Narra N.; Valášek J.; Hannula M.; Marcián P.; Sándor G.K.; Hyttinen J.; Wolff J.,2014,Journal of Biomechanics,10.1016/j.jbiomech.2013.11.016,"Finite element analysis of customized reconstruction plates for mandibular continuity defect therapy  Large mandibular continuity defects pose a significant challenge in oral maxillofacial surgery. One solution to this problem is to use computer-guided surgical planning and additive manufacturing technology to produce patient-specific reconstruction plates. However, when designing customized plates, it is important to assess potential biomechanical responses that may vary substantially depending on the size and geometry of the defect. The aim of this study was to assess the design of two customized plates using finite element method (FEM). These plates were designed for the reconstruction of the lower left mandibles of two ameloblastoma cases (patient 1/plate 1 and patient 2/plate 2) with large bone resections differing in both geometry and size. Simulations revealed maximum von Mises stresses of 63. MPa and 108. MPa in plates 1 and 2, and 65. MPa and 190. MPa in the fixation screws of patients 1 and 2. The equivalent strain induced in the bone at the screw-bone interface reached maximum values of 2739 micro-strain for patient 1 and 19,575 micro-strain for patient 2. The results demonstrate the influence of design on the stresses induced in the plate and screw bodies. Of particular note, however, are the differences in the induced strains. Unphysiologically high strains in bone adjacent to screws can cause micro-damage leading to bone resorption. This can adversely affect the anchoring capabilities of the screws. Thus, while custom plates offer optimal anatomical fit, attention should be paid to the expected physiological forces on the plates and the induced stresses and strains in the plate-screw-bone assembly. © 2013 Elsevier Ltd.",TRUE,"Focuses on biomechanical details of reconstruction plates but doesn't cover automatic prediction or evaluation of aesthetic results, so it doesn't fit the review’s focus on assessing surgical aesthetics."
Effect of orthopedic implants on canine long bone compression stiffness: a combined experimental and computational approach,Laurent C.P.; Böhme B.; Verwaerde J.; Papeleux L.; Ponthot J.-P.; Balligand M.,2020,"Proceedings of the Institution of Mechanical Engineers, Part H: Journal of Engineering in Medicine",10.1177/0954411919882603,"Osteosynthesis for canine long bones is a complex process requiring knowledge of biology, surgical techniques and (bio)mechanical principles. Subject-specific finite element analysis constitutes a promising tool to evaluate the effect of surgical intervention on the global properties of a bone–implant construct, but suffers from a lack of validation. In this study, the biomechanical behavior of 10 canine humeri was compared before and after creation of a 10 mm bone defect stabilized with an eight-hole locking compression plate (Synthes®) and two locking screws on each fragment. The response under compression of both intact and plated samples was measured experimentally and reproduced with a finite element model. The experimental stiffness ratio between plated and intact bone was equal to 0.39 ± 0.06. A subject-specific finite element analysis including density-dependent elasto-plastic material properties for canine bone and automatic generation of orthopedic implants was then conducted to recover these experimental results. The stiffness of intact and plated samples could be predicted, with no significant differences with experimental data. The simulated stiffness ratio between plated and intact canine bone was equal to 0.43 ± 0.03. This study constitutes a first step toward the building of a virtual database of pre-computed cases, aiming at helping the veterinary surgeons to make decisions regarding the most suited orthopedic solution for a given dog and a given fracture. © IMechE 2019.",TRUE,Focus on biomechanical testing of dog bone implants doesn't match the review’s interest in predicting or assessing aesthetic results in plastic or cancer surgery.
Subject-specific finite-element modeling of normal aortic valve biomechanics from 3D+t TEE images,Labrosse M.R.; Beller C.J.; Boodhwani M.; Hudson C.; Sohmer B.,2015,Medical Image Analysis,10.1016/j.media.2014.11.003,"In the past decades, developments in transesophageal echocardiography (TEE) have opened new horizons in reconstructive surgery of the aortic valve (AV), whereby corrections are made to normalize the geometry and function of the valve, and effectively treat leaks. To the best of our knowledge, we propose the first integrated framework to process subject-specific 3D+t TEE AV data, determine age-matched material properties for the aortic and leaflet tissues, build a finite element model of the unpressurized AV, and simulate the AV function throughout a cardiac cycle. For geometric reconstruction purposes, dedicated software was created to acquire the 3-D coordinates of 21 anatomical landmarks of the AV apparatus in a systematic fashion. Measurements from ten 3D+t TEE datasets of normal AVs were assessed for inter- and intra-observer variability. These tests demonstrated mean measurement errors well within the acceptable range. Simulation of a complete cardiac cycle was successful for all ten valves and validated the novel schemes introduced to evaluate age-matched material properties and iteratively scale the unpressurized dimensions of the valves such that, given the determined material properties, the dimensions measured in vivo closely matched those simulated in late diastole. The leaflet coaptation area, describing the quality of the sealing of the valve, was measured directly from the medical images and was also obtained from the simulations; both approaches correlated well. The mechanical stress values obtained from the simulations may be interpreted in a comparative sense whereby higher values are indicative of higher risk of tearing and/or development of calcification. © 2014 Elsevier B.V.",TRUE,"Focuses on aortic valve biomechanics without touching on aesthetic outcomes in plastic or cancer surgery, so it doesn't fit the review's topic."
Modelling and structural analysis of skull/cranial implant: Beyond mid-line deformities,Bogu V.P.; Ravi Kumar Y.; Khanara A.K.,2017,Acta of Bioengineering and Biomechanics,10.5277/ABB-00547-2016-04,"Purpose: This computational study explores modelling and finite element study of the implant under Intracranial pressure (ICP) conditions with normal ICP range (7 mm Hg to 15 mm Hg) or increased ICP (>I5 mm Hg). The implant fixation points allow implant behaviour with respect to intracranial pressure conditions. However, increased fixation points lead to variation in deformation and equivalent stress. Finite element analysis is providing a valuable insight to know the deformation and equivalent stress. Methods: The patient CT data (Computed Tomography) is processed in Mimics software to get the mesh model. The implant is modelled by using modified reverse engineering technique with the help of Rhinoceros software. This modelling method is applicable for all types of defects including those beyond the middle line and multiple ones. It is designed with eight fixation points and ten fixation points to fix an implant. Consequently, the mechanical deformation and equivalent stress (von Mises) are calculated in ANSYS 15 software with distinctive material properties such as Titanium alloy (Ti6Al4V), Polymethyl methacrylate (PMMA) and polyether-ether-ketone (PEEK). Results: The deformation and equivalent stress results are obtained through ANSYS 15 software. It is observed that Ti6Al4V material shows low deformation and PEEK material shows less equivalent stress. Among all materials PEEK shows noticeably good result. Conclusions: Hence, a concept was established and more clinically relevant results can be expected with implementation of realistic 3D printed model in the future. This will allow physicians to gain knowledge and decrease surgery time with proper planning. © 2017, Institute of Machine Design and Operation. All rights reserved.",TRUE,"Focuses on biomechanical modeling and implant materials without covering automatic prediction or evaluation of aesthetic results, which doesn't match the review's interest in assessing surgical aesthetics."
"Computer-assisted, Le Fort-based, face–jaw–teeth transplantation: a pilot study on system feasiblity and translational assessment",Murphy R.J.; Gordon C.R.; Basafa E.; Liacouras P.; Grant G.T.; Armand M.,2015,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-014-1114-9,"Purpose: Le Fort-based face–jaw–teeth transplantation (FJTT) attempts to marry bone and teeth geometry of size-mismatched face–jaw–teeth segments to restore function and form due to severe mid-facial trauma. Recent development of a computer-assisted planning and execution (CAPE) system for Le Fort-based FJTT in a pre-clinical swine model offers preoperative planning, and intraoperative navigation. This paper addresses the translation of the CAPE system to human anatomy and presents accuracy results. Methods: Single-jaw, Le Fort-based FJTTs were performed on plastic models, one swine and one human, and on a human cadaver. Preoperative planning defined the goal placement of the donor’s Le Fort-based FJTT segment on the recipient. Patient-specific navigated cutting guides helped achieve planned osteotomies. Intraoperative cutting guide and donor fragment placement were compared with postoperative computed tomography (CT) data and the preoperative plan. Results: Intraoperative measurement error with respect to postoperative CT was less than 1.25 mm for both mock transplants and 3.59 mm for the human cadaver scenario. Donor fragment placement (as compared to the planned position) was less accurate for the human model test case (2.91 mm) compared with the swine test (2.25 mm) and human cadaver (2.26 mm). Conclusion: The results indicate the viability of the CAPE system for assisting with Le Fort-based FJTT and demonstrate the potential in human surgery. This system offers a new path forward to achieving improved outcomes in Le Fort-based FJTT and can be modified to assist with a variety of other surgeries involving the head, neck, face, jaws and teeth. © 2014, CARS.",TRUE,"Focuses on technical feasibility without addressing aesthetic outcomes or using automated prediction, so it doesn’t fit the review’s focus on predicting and evaluating aesthetics."
Development and evaluation of a semi-automatic technique for determining the bilateral symmetry plane of the facial skeleton,Willing R.T.; Roumeliotis G.; Jenkyn T.R.; Yazdani A.,2013,Medical Engineering and Physics,10.1016/j.medengphy.2013.06.006,"During reconstructive surgery of the face, one side may be used as a template for the other, exploiting assumed bilateral facial symmetry. The best method to calculate this plane, however, is debated. A new semi-automatic technique for calculating the symmetry plane of the facial skeleton is presented here that uses surface models reconstructed from computed tomography image data in conjunction with principal component analysis and an iterative closest point alignment method. This new technique was found to provide more accurate symmetry planes than traditional methods when applied to a set of 7 human craniofacial skeleton specimens, and showed little vulnerability to missing model data, usually deviating less than 1.5° and 2. mm from the intact model symmetry plane when 30. mm radius voids were present. This new technique will be used for subsequent studies measuring symmetry of the facial skeleton for different patient populations. © 2013 IPEM.",TRUE,"Focuses on a semi-automatic way to find facial symmetry without tackling automatic prediction or aesthetic evaluation, and the small sample size limits how well the results apply more broadly."
Computational modeling of reconstructive surgery: The effects of the natural tension on skin wrinkling,Cavicchi A.; Gambarotta L.; Massabò R.,2009,Finite Elements in Analysis and Design,10.1016/j.finel.2009.02.006,"A computational model is presented for the simulation of procedures of reconstructive surgery characterized by the excision of a cutaneous defect and the closure and suture of the wound edges. The skin is modeled as a plane membrane with zero flexural stiffness. The membrane undergoes large deformations and is characterized by a Fung type constitutive response in biaxial tension. Skin wrinkling, which is a typical outcome of the surgery in the form of extrusion of the wound edges and dog-ears, is considered through a modification of the elastic potential as originally proposed by Pipkin's Relaxed Energy Density theory [A.C. Pipkin, The relaxed energy density for isotropic elastic membranes, IMA J. Appl. Math. 36 (1986) 85-99; A.C. Pipkin, Relaxed energy density for large deformations of membranes, IMA J. Appl. Math. 52 (1994) 197-308]. The post-buckling analysis of a stretched annular membrane performed by Geminard et al. [Wrinkle formations in axi-symmetrically stretched membranes, Eur. Phys. J. E 15 (2004) 117-126] is used to validate the model under conditions similar to those of the surgery and to discuss the influence of a pre-existing tension in the membrane on the extension of the wrinkled regions. The model is applied to simulate different surgical procedures and investigate the effects of the natural state of the skin and the shape and size of the excisions. The results explain and validate current practice. © 2009 Elsevier B.V. All rights reserved.",TRUE,Focuses on skin mechanics modeling but misses key aspects like automatic aesthetic outcome prediction and clinical validation for plastic surgery results.
Craniofacial Surgery Planning Based on Virtual Patient Models; [Modellgestützte Planung von Gesichtsoperationen am virtuellen Patienten],Weiser M.; Zachow S.; Deuflhard P.,2010,IT - Information Technology,10.1524/itit.2010.0600,"In craniofacial surgery physicians are often faced with the reconstruction of massively destroyed or radically resected tissue structures caused by trauma or tumors. Also corrections of dislocated bone fragments up to the complete modeling of facial regions in cases of complex congenital malformations are common tasks of plastic and reconstructive surgeons. Such procedures have to be planned and executed thoroughly in order to achieve the best functional as well as an optimal aesthetic rehabilitation. On this account a computer assisted modeling, planning and simulation approach allows for preoperative assessment of different therapeutic strategies on basis of individual, three-dimensional patient models. Bone structures can be mobilized and relocated under consideration of anatomical and functional constraints. The resulting facial appearance can be simulated via finite-element methods on basis of a biomechanical tissue model, and visualized using high quality rendering techniques. Such an approach is not only important for preoperative mental preparation, but also for vivid patient information, documentation, quality assurance as well as for surgical education and training. © 2010 by Oldenbourg Wissenschaftsverlag, Berlin, Germany.",TRUE,Focuses on surgical planning and simulation but misses out on using automatic prediction or objective ways to assess aesthetic results in plastic and oncological surgery.
Development of bioactive and biodegradable chitosan-based injectable systems containing bioactive glass nanoparticles,Couto D.S.; Hong Z.; Mano J.F.,2009,Acta Biomaterialia,10.1016/j.actbio.2008.08.006,"There is increasing interest in the development of new tissue engineering strategies to deliver cells and bioactive agents encapsulated in a biodegradable matrix through minimally invasive procedures. The present work proposes to combine chitosan-β-glycerophosphate salt formulations with bioactive glass nanoparticles in order to conceive novel injectable thermo-responsive hydrogels for orthopaedic reconstructive and regenerative medicine applications. The initial rheological properties and the gelation points of the developed organic-inorganic in situ thermosetting systems were revealed to be adequate for intracorporal injection. In vitro bioactivity tests, using incubation protocols in simulated body fluid (SBF), allowed the observation of bone-like apatite formation in the hydrogel formulations containing bioactive nanoparticles. The density of the apatite formed increased with increasing bioactive glass content and soaking time in SBF. These results indicate that the stimuli-responsive hydrogels could potentially be used as temporary injectable scaffolds in bone tissue engineering applications. © 2008 Acta Materialia Inc.",TRUE,"Focuses on injectable biomaterials for bone repair, missing the automatic prediction or assessment of aesthetic results in plastic or cancer surgery that the review targets."
Stress wave emission and cavitation bubble dynamics by nanosecond optical breakdown in a tissue phantom,Brujan E.-A.; Vogel A.,2006,Journal of Fluid Mechanics,10.1017/S0022112006000115,"Stress wave emission and cavitation bubble dynamics after optical breakdown in water and a tissue phantom with Nd: YAG laser pulses of 6 ns duration were investigated both experimentally and numerically to obtain a better understanding of the physical mechanisms involved in plasma-mediated laser surgery. Experimental tools were high-speed photography with 50 000 frames s-1, and acoustic measurements. The tissue phantom consisted of a transparent polyacrylamide (PAA) gel, the elastic properties of which can be controlled by modifying the water content. Breakdown in water produced a purely compressive stress wave. By contrast, in stiff PAA samples and for sufficiently large pulse energies, the compression wave was followed by an intense tensile wave, similar to the behaviour previously observed in cornea. The elastic/plastic response of the medium led to a significant decrease of the maximum size of the cavitation bubble and to a shortening of its oscillation period which was found to be related to the generation of the tensile stress wave upon breakdown. For increasing elastic modulus of the PAA, both the amplitudes of the bubble oscillation and of the stress wave emitted during bubble collapse decreased until the bubble oscillation was so strongly damped that no collapse stress wave was emitted. Numerical simulations were performed using a spherical model of bubble dynamics which includes the compressibility and elastic/plastic behaviour of the medium, viscosity, density and surface tension. The calculations revealed that consideration of the elastic/plastic behaviour of the medium surrounding the bubble is essential to describe the experimentally observed bipolar shape of the stress wave emitted upon optical breakdown. Water is a poor tissue model because the shape of the emitted stress waves and the bubble dynamics differ strongly for both materials. The mechanical properties of PAA were also found to be quite different from those of tissues. Experimental and numerical results provided evidence that the dynamic mechanical properties relevant for optical breakdown in PAA and tissue differ by as much as two orders of magnitude from the static values. The discovery of a tensile stress wave after optical breakdown in tissue-like media is of great importance for the assessment of collateral damage in laser surgery because biological tissues are much more susceptible to tensile stress than to compressive stress. © 2006 Cambridge University Press.",TRUE,"Centers on laser-induced stress waves in tissue models, not on predicting or assessing surgical aesthetic results, so it doesn’t fit the review’s focus."
Computer-assisted zygoma reconstruction with vascularized iliac crest bone graft,Modabber A.; Gerressen M.; Ayoub N.; Elvers D.; Stromps J.-P.; Riediger D.; Hölzle F.; Ghassemi A.,2013,International Journal of Medical Robotics and Computer Assisted Surgery,10.1002/rcs.1557,"Background: The reconstruction of zygoma is a challenge with regard to aesthetic and reconstructive demands. Methods: Pre-operative CT data were imported into specific surgical planning software. The mirror-imaging technique was used. A surgical guide transferred the virtual surgery plan to the operation site, whereby it fitted uniquely to the iliac donor site. A postoperative CT scan was obtained for comparing the actual postoperative graft position and shape with the pre-operative virtual simulation. Results: A mean difference of 0.71 mm (SD±1.42) for the shape analysis and 3.53 mm (SD±3.14) for the graft position was determined. The calculation of the closest point distance showed a surface deviation of<2 mm for the shape analysis with 83.6% of values and for the graft position with 35.7% of values. Conclusion: Virtual surgical planning is a suitable method for zygoma reconstruction with vascularized iliac crest bone graft, with good accuracy for restoring the three-dimensional anatomy. © 2013 John Wiley & Sons, Ltd.",TRUE,"Focuses on surgical planning accuracy without assessing aesthetic outcomes or using automated evaluation, so it doesn't fit the review’s topic."
Real-time endovascular guidewire position simulation using shortest path algorithms,Schafer S.; Singh V.; Noël P.B.; Walczak A.M.; Xu J.; Hoffmann K.R.,2009,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-009-0385-z,"Purpose: Treatment of vascular disease often involves endovascular interventions which use the vascular system for delivering treatment devices via a previously inserted guidewire to the diseased site. Previous studies show relative reproducibility of guidewire position after insertion, indicating that the guidewire position is constrained and could be represented by an energy minimization approach. Such representation would support the surgeon's decision process in guidewire selection. Methods: In this paper, we determine the guidewire position using a k-level graph based on 3D vessel information. Guidewire properties are incorporated into the graph as edge weights given by the local bending energy related to the local bending angle. The optimal path through this weighted directed graph is determined using a shortest path algorithm. Volumetric data of two different internal carotid artery phantoms (Ø 3.5-4.6 mm) was acquired. Two guidewires (Ø 0.33 mm) of different material properties (stainless steel, plastic-coated steel core) were inserted into the phantoms. Results: The average RMS distance between actual and simulated guidewire positions varies from 0.9 mm (plastic coated) to 1.3 mm (stainless steel); the computation time to determine the position was <2s. Conclusions: The results indicate that the proposed technique yields reproducible and accurate guidewire positions within a short, clinically relevant time frame. These calculated positions may be useful in facilitating neurovascular interventions. © CARS 2009.",TRUE,"Centers on guidewire simulation for vascular procedures without discussing automated prediction or assessment of cosmetic results in plastic or cancer surgeries, so it doesn’t match the review’s focus."
Reconstruction of 3D human facial images using partial differential equations,Elyan E.; Ugail H.,2007,Journal of Computers,10.4304/jcp.2.8.1-8,"One of the challenging problems in geometric modeling and computer graphics is the construction of realistic human facial geometry. Such geometry are essential for a wide range of applications, such as 3D face recognition, virtual reality applications, facial expression simulation and computer based plastic surgery application. This paper addresses a method for the construction of 3D geometry of human faces based on the use of Elliptic Partial Differential Equations (PDE). Here the geometry corresponding to a human face is treated as a set of surface patches, whereby each surface patch is represented using four boundary curves in the 3-space that formulate the appropriate boundary conditions for the chosen PDE. These boundary curves are extracted automatically using 3D data of human faces obtained using a 3D scanner. The solution of the PDE generates a continuous single surface patch describing the geometry of the original scanned data. In this study, through a number of experimental verifications we have shown the efficiency of the PDE based method for 3D facial surface reconstruction using scan data. In addition to this, we also show that our approach provides an efficient way of facial representation using a small set of parameters that could be utilized for efficient facial data storage and verification purposes. © 2006 ACADEMY PUBLISHER.",TRUE,"Focuses on 3D facial reconstruction methods but misses exploring automatic prediction or assessment of aesthetic results in plastic or cancer-related surgery, so it doesn’t quite fit the review’s focus."
