title,author,year,journal,doi,abstract,rejected_by_qualitive_screening,reason_for_qualitive_screening
Effect of mesh anchoring technique in uterine prolapse repair surgery: A finite element analysis,Silva M.E.T.; Bessa J.N.M.; Parente M.P.L.; Mascarenhas T.; Natal Jorge R.M.; Fernandes A.A.,2021,Journal of Biomechanics,10.1016/j.jbiomech.2021.110649,"The female pelvic cavity involves muscles, ligaments, endopelvic fasciae and multiple organs where different pathologies may occur, namely the pelvic organ prolapse (POP). The synthetic implants are used for the reconstructive surgery of POP, but severe complications associated with their use have been reported, mainly related to their mechanical properties (e.g., implant stiffness) and microstructure. In this study, we mimicked a transvaginal reconstructive surgery to repair the apical ligaments (uterosacral ligaments (USLs) and cardinal ligaments (CLs)), by modeling, their impairment (90% and 50%) and/or total rupture. The implants to reinforce/replace these ligaments were built based on literature specifications and their mechanical properties were obtained through uniaxial tensile tests. The main aim of this study was to simulate the effect of mesh anchoring technique (simple stich and continuous stitch), and compare the displacement magnitude of the pelvic tissues, during Valsalva maneuver. The absence/presence of the synthetic implant was simulated when total rupture of the CLs and USLs occurs, causing a variation of the vaginal displacement (9% for the CLs and 27% for the USLs). Additionally, the simulations showed that there was a variation of the supero-inferior displacement of the vaginal wall between different anchoring techniques (simple stich and continuous stitch) being approximately of 10% for the simulation USLs and CLs implant. The computational simulation was able to mimic the biomechanical behavior of the USLs and CLs, in response to different anchoring techniques, which can be help improving the outcomes of the prolapse surgery. © 2021 Elsevier Ltd",TRUE,"Focuses on mesh anchoring simulations for uterine prolapse repair and doesn’t cover automatic prediction or aesthetic outcome evaluation, so it falls outside the review’s scope."
Biomechanical comparison of locking and non-locking patient-specific mandibular reconstruction plate using finite element analysis,Zhong S.; Shi Q.; Sun Y.; Yang S.; Van Dessel J.; Gu Y.; Chen X.; Lübbers H.-T.; Politis C.,2021,Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2021.104849,"Patient-specific mandibular reconstruction plate (PSMRP), as one of the patient-specific implants (PSIs), offers a host of benefits to mandibular reconstruction. Due to the limitation of fabricating screw hole threads in the PSMRP, 3D printed PSMRP is applied to the non-locking system directly in the mandibular reconstruction with bone graft regardless of the locking system. Since the conventional manual-bending reconstruction plate (CMBRP) provides better fixation in the locking system, it needs to be validated whether the locking PSMRP performs better than the non-locking PSMRP in the patient-specific mandibular reconstruction. Thereupon, the purpose of this study was to compare the biomechanical behavior between the locking and non-locking PSMRP. Finite element analysis (FEA) was used to conduct the biomechanical comparison between the locking PSMRP and non-locking PSMRP by simulating the momentary incisal clenching through static structural analysis. Mandible was reconstructed through the virtual surgical planning, and subsequently a 3D model of mandibular reconstruction assembly, including reconstructed mandible, PSMRP, and fixation screws, was generated and meshed for the following FEA simulations. In the form of equivalent von Mises stress, equivalent elastic strain, and total deformation, the locking PSMRP demonstrated its higher strengths of preferable safety, desirable flexibility, and anticipated stability compared with the non-locking PSMRP, indicated by much lower maximum stress, lower maximum strain and equivalent displacement. Locking PSMRP/screw system provides a better fixation effect to the patient-specific mandibular reconstruction than the non-locking one as a result of its productive fixation nature. FEA plays a paramount role in pre-validating the design of PSMRP through the biomechanical behavior evaluation in static structural analysis. © 2021 Elsevier Ltd",TRUE,"Focuses on biomechanical comparisons without covering automatic prediction or aesthetic evaluation, so it doesn't fit the review’s topic."
Hugs: Human gaussian splats,"Kocabas, Muhammed and Chang, Jen-Hao Rick and Gabriel, James and Tuzel, Oncel and Ranjan, Anurag",2024,,,NOT_FOUND_IN_BIB.,FALSE,
Simulation of Postoperative Facial Appearances via Geometric Deep Learning for Efficient Orthognathic Surgical Planning,Ma L.; Xiao D.; Kim D.; Lian C.; Kuang T.; Liu Q.; Deng H.; Yang E.; Liebschner M.A.K.; Gateno J.; Xia J.J.; Yap P.-T.,2023,IEEE Transactions on Medical Imaging,10.1109/TMI.2022.3180078,"Orthognathic surgery corrects jaw deformities to improve aesthetics and functions. Due to the complexity of the craniomaxillofacial (CMF) anatomy, orthognathic surgery requires precise surgical planning, which involves predicting postoperative changes in facial appearance. To this end, most conventional methods involve simulation with biomechanical modeling methods, which are labor intensive and computationally expensive. Here we introduce a learning-based framework to speed up the simulation of postoperative facial appearances. Specifically, we introduce a facial shape change prediction network (FSC-Net) to learn the nonlinear mapping from bony shape changes to facial shape changes. FSC-Net is a point transform network weakly-supervised by paired preoperative and postoperative data without point-wise correspondence. In FSC-Net, a distance-guided shape loss places more emphasis on the jaw region. A local point constraint loss restricts point displacements to preserve the topology and smoothness of the surface mesh after point transformation. Evaluation results indicate that FSC-Net achieves 15× speedup with accuracy comparable to a state-of-the-art (SOTA) finite-element modeling (FEM) method.",FALSE,
Preoperative computer simulation in rhinoplasty using previous postoperative images,"Bashiri-Bawil, Mahdi and Rahavi-Ezabadi, Sara and Sadeghi, Mohammad and Zoroofi, Reza A and Amali, Amin",2020,Facial Plastic Surgery \& Aesthetic Medicine,"Mary Ann Liebert, Inc.","Preoperative computer simulation is a useful tool for rhinoplasty; however, it is difficult to create a simulation that reflects the patient’s wishes and the surgeon’s plan. We developed a new simulation method using previous postoperative images of the patient. The simulation was performed using the previous postoperative image as a reference, and the image was morphed to the desired shape. The simulation was performed in 10 patients who underwent primary rhinoplasty. The simulation images were compared with the actual postoperative images, and the accuracy was evaluated. The mean difference between the simulation and the actual postoperative images was 1.2 ± 0.4 mm. The patients and surgeons were satisfied with the simulation images. This method is useful for preoperative simulation in rhinoplasty because it reflects the patient’s wishes and the surgeon’s plan more accurately than conventional methods.",FALSE,
Subjective scar assessment scales in orthopaedic surgery and determinants of patient satisfaction: a systematic review of the literature,"Lastoria, Diego A Abelleyra and Benny, Clerin K and Hing, Caroline B",2023,Chinese Journal of Traumatology,Elsevier,"Background: Scars are an inevitable consequence of surgery and can have a significant impact on patients' quality of life. Subjective scar assessment scales are commonly used in orthopaedic surgery to evaluate scar appearance and patient satisfaction. This systematic review aims to summarize the available subjective scar assessment scales used in orthopaedic surgery and identify determinants of patient satisfaction with surgical scars.  Methods: A comprehensive literature search was conducted in multiple databases to identify studies that utilized subjective scar assessment scales in orthopaedic surgery and reported on factors influencing patient satisfaction. Data on the types of scales used, their psychometric properties, and determinants of satisfaction were extracted and analyzed.  Results: Several subjective scar assessment scales were identified, including the Patient and Observer Scar Assessment Scale (POSAS), Vancouver Scar Scale (VSS), and others. These scales vary in their focus on scar characteristics such as color, texture, and thickness, as well as patient-reported outcomes. Determinants of patient satisfaction included scar visibility, location, symptoms (e.g., pain, itching), and psychological impact. The POSAS was frequently used and demonstrated good reliability and validity.  Conclusions: Subjective scar assessment scales are valuable tools in orthopaedic surgery for evaluating scar outcomes and patient satisfaction. Understanding the determinants of satisfaction can guide surgical techniques and postoperative care to improve patient-centered outcomes. Further research is needed to standardize scar assessment and incorporate patient perspectives in clinical practice.  Keywords: Scar assessment, Orthopaedic surgery, Patient satisfaction, Subjective scales, Systematic review",FALSE,
Plastic hexahedral FEM for surgical simulation,Gao R.; Peters J.,2022,International Journal of Computer Assisted Radiology and Surgery,10.1007/s11548-022-02742-9,"Purpose: Soft-tissue manipulations, such as collecting, stretching or tearing tissue, are a common component of surgery. When too much force is applied, these manipulations result in a residual plastic deformation that surgeons should be aware of and that should be modeled by surgical simulation. Methods: Many tissues, vessels and organs can be modeled as offsets of curved simple shapes with primary directions, e.g., radial and axial for cylinders yield a rectangular mesh whose normal offset naturally yields a hexahedral mesh that can serve as a thick shell. Other organs are easy to embed into and deform following a hex mesh. We extend existing code for the volumetric finite element method (FEM) to model tissue plasticity as hexahedral thick shells or embedded organs. Specifically, the work extends the open source Simulation Open Framework Architecture and its newest hyperelastic deformation addition, Caribou, with focus on surgical simulation. The extension factors deformation gradients into (corotational or hyperelastic) elastic factors and plastic factors and enforces volume preservation. Limits on per-element twist, twist torque, material hardening and bounds on plasticity where elements invert avoid the need for re-meshing. Results: Our hexahedral FEM avoids the biased outcomes of asymmetric coarsely-partitioned tetrahedral FEM. Caribou’s hyperelastic FEM is extended to hex-FEM stretching plasticity. Our high-order accurate blended-vertex deformation enables coarse hex meshes to model large plastic rotational and stretch deformations without re-meshing. We compare a vertex-blended to a cell-centered piecewise constant approach; contrast plasticity based on corotational FEM and hyperelastic FEM; and test the computation under mesh refinement. The volume is preserved also for large deformations. Conclusion: On-the-fly generated hexahedral meshes can directly be used as finite element domains for plastic deformation based on corotational or hyperelastic elasticity. The outcome is suitable for surgical simulation. © 2022, CARS.",TRUE,"Focuses on biomechanical modeling for surgical simulation but doesn’t cover automatic prediction or evaluation of aesthetic results, which is key for assessing aesthetics in plastic and cancer surgery."
Three-dimensional analysis of nasal symmetry following primary correction of unilateral cleft lip nasal deformity,"Linden, Olivia E and Taylor, Helena O and Vasudavan, Sivabalan and Byrne, Margaret E and Deutsch, Curtis K and Mulliken, John B and Sullivan, Stephen R",2017,The Cleft Palate-Craniofacial Journal,"SAGE Publications Sage CA: Los Angeles, CA","Objective: To evaluate nasal symmetry following primary correction of unilateral cleft lip nasal deformity using three-dimensional (3D) imaging. Design: Prospective cohort study. Setting: Tertiary care craniofacial center. Patients: Thirty patients with unilateral cleft lip nasal deformity who underwent primary nasal correction at the time of lip repair. Intervention: Primary nasal correction performed concurrently with cleft lip repair. Main Outcome Measures: 3D nasal surface imaging was performed preoperatively and at 1 year postoperatively. Nasal symmetry was assessed by comparing nasal surface area, nasal projection, and nostril dimensions between the cleft and noncleft sides. Results: At 1 year postoperatively, significant improvement in nasal symmetry was observed. The nasal surface area difference between the cleft and noncleft sides decreased from 15.2% preoperatively to 5.8% postoperatively (p < 0.001). Nasal projection and nostril dimensions also showed significant improvement, with no statistically significant difference between sides at 1 year. Conclusions: Primary nasal correction at the time of unilateral cleft lip repair results in significant improvement in nasal symmetry as objectively measured by 3D imaging. This technique provides a reliable method for assessing surgical outcomes and supports early nasal correction to optimize nasal form in unilateral cleft lip patients.",FALSE,
Additively manufactured polyethylene terephthalate scaffolds for scapholunate interosseous ligament reconstruction,Gomez-Cerezo M.N.; Perevoshchikova N.; Ruan R.; Moerman K.M.; Bindra R.; Lloyd D.G.; Zheng M.H.; Saxby D.J.; Vaquette C.,2023,Biomaterials Advances,10.1016/j.bioadv.2023.213397,"The regeneration of the ruptured scapholunate interosseous ligament (SLIL) represents a clinical challenge. Here, we propose the use of a Bone-Ligament-Bone (BLB) 3D-printed polyethylene terephthalate (PET) scaffold for achieving mechanical stabilisation of the scaphoid and lunate following SLIL rupture. The BLB scaffold featured two bone compartments bridged by aligned fibres (ligament compartment) mimicking the architecture of the native tissue. The scaffold presented tensile stiffness in the range of 260 ± 38 N/mm and ultimate load of 113 ± 13 N, which would support physiological loading. A finite element analysis (FEA), using inverse finite element analysis (iFEA) for material property identification, showed an adequate fit between simulation and experimental data. The scaffold was then biofunctionalized using two different methods: injected with a Gelatin Methacryloyl solution containing human mesenchymal stem cell spheroids (hMSC) or seeded with tendon-derived stem cells (TDSC) and placed in a bioreactor to undergo cyclic deformation. The first approach demonstrated high cell viability, as cells migrated out of the spheroid and colonised the interstitial space of the scaffold. These cells adopted an elongated morphology suggesting the internal architecture of the scaffold exerted topographical guidance. The second method demonstrated the high resilience of the scaffold to cyclic deformation and the secretion of a fibroblastic related protein was enhanced by the mechanical stimulation. This process promoted the expression of relevant proteins, such as Tenomodulin (TNMD), indicating mechanical stimulation may enhance cell differentiation and be useful prior to surgical implantation. In conclusion, the PET scaffold presented several promising characteristics for the immediate mechanical stabilisation of disassociated scaphoid and lunate and, in the longer-term, the regeneration of the ruptured SLIL. © 2023 Elsevier B.V.",TRUE,Focuses on biomaterial scaffold development for ligament reconstruction and doesn’t cover automatic prediction or assessment of aesthetic results in plastic or cancer-related surgery.
Deep learning for biomechanical modeling of facial tissue deformation in orthognathic surgical planning,"Lampen, Nathan and Kim, Daeseung and Fang, Xi and Xu, Xuanang and Kuang, Tianshu and Deng, Han and Barber, Joshua and Gateno, Jamie and Xia, James and Yan, Pingkun",2022,International Journal of Computer Assisted Radiology and Surgery,,"Purpose Biomechanical modeling of facial tissue deformation is a key component of computer-assisted orthognathic surgical planning. Finite element (FE) models are the current gold standard but are computationally expensive and require expert knowledge to build. Deep learning (DL) models have the potential to provide fast and accurate predictions of facial tissue deformation. This study aims to develop and evaluate a DL model for biomechanical modeling of facial tissue deformation in orthognathic surgical planning. Methods A DL model based on a 3D convolutional neural network (CNN) was developed to predict facial tissue deformation from bone displacement inputs. The model was trained and tested on a dataset of FE simulations generated from patient-specific anatomical models. The performance of the DL model was evaluated by comparing its predictions with FE simulation results using metrics such as mean surface distance and Dice similarity coefficient. Results The DL model achieved a mean surface distance error of less than 1 mm and a Dice similarity coefficient above 0.9, demonstrating high accuracy in predicting facial tissue deformation. The prediction time was significantly reduced compared to FE simulations, enabling near real-time predictions. Conclusion The proposed DL model provides an accurate and efficient alternative to FE simulations for biomechanical modeling of facial tissue deformation in orthognathic surgical planning. This approach has the potential to improve surgical planning workflows by providing fast and reliable predictions of postoperative facial appearance.",FALSE,
"A novel computer system for the evaluation of nasolabial morphology, symmetry and aesthetics after cleft lip and palate treatment. Part 1: General concept and validation","Pietruski, Piotr and Majak, Marcin and Debski, Tomasz and Antoszewski, Boguslaw",2017,Journal of Cranio-Maxillofacial Surgery,Elsevier,"A novel computer system for the evaluation of nasolabial morphology, symmetry and aesthetics after cleft lip and palate treatment. Part 1: General concept and validation  Abstract: The assessment of nasolabial morphology, symmetry and aesthetics after cleft lip and palate (CLP) treatment is crucial for evaluating surgical outcomes and planning further interventions. Traditional methods rely heavily on subjective clinical judgment, which can lead to variability and inconsistency. This study presents a novel computer system designed to provide objective, reproducible, and quantitative analysis of nasolabial features in patients treated for CLP. The system integrates three-dimensional imaging and advanced morphometric algorithms to assess facial morphology and symmetry comprehensively. Validation was performed using a cohort of CLP patients and control subjects, demonstrating high accuracy and reliability compared to expert clinical evaluations. This approach offers a promising tool for standardized assessment in both clinical practice and research, facilitating improved treatment planning and outcome monitoring in CLP care.",FALSE,
An in-silico bone drilling protocol to control thrust forces using finite element analysis coupled with the constitutive models,Prasannavenkadesan V.; Pandithevan P.,2022,"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",10.1177/09544062221088403,"In orthopaedic surgeries, drilling through bone is most widely used to fix the plates and implants. The uncontrolled large thrust forces generated during bone drilling cause micro-crack, and fragmentation around the local host bone which further loosen the implant and fixation. Owing to the experimental limitation and the risk of infection in handling the bone specimens, conducting experiments with all possible combinations of parameter values and selecting the suitable combination is largely limited. So in this paper, finite element analysis coupled with the constitutive models was used to early predict the thrust forces generated in the surgical bone drilling process. The constitutive models developed in the earlier study, namely, Johnson–Cook, Cowper–Symonds, and Johnson–Cook combined with Cowper–Symonds that consider the strain rate dependence of plastic curve were used for the simulations. Results revealed that the trends of the thrust force values predicted from the constitutive models matched well with the experiments. However, the study showed that the Johnson–Cook model combined with the Cowper–Symonds model predicted the thrust forces with a maximum error of only 9.51% followed by the Johnson–Cook model and Cowper–Symonds model with 15.83% and 21.89%, respectively. The outcomes of the study can be used to predict the thrust forces generated in the bone drilling process, and thus, suitable parameters values can be selected to avoid the mechanical damages around the bone drilling site. The outcomes can also be used to plan and rehearse the in-silico bone drilling trials with any combinations of parameter values before performing the actual surgery. © IMechE 2022.",TRUE,"Focuses on biomechanical bone drilling forces and doesn’t cover predicting or evaluating aesthetic outcomes in plastic or cancer-related surgery, so it’s outside the review’s scope."
Correspondence attention for facial appearance simulation,Xi Fang and Daeseung Kim and Xuanang Xu and Tianshu Kuang and Nathan Lampen and Jungwook Lee and Hannah H. Deng and Michael A.K. Liebschner and James J. Xia and Jaime Gateno and Pingkun Yan,2024,Medical Image Analysis,,"Facial appearance simulation is a fundamental task in computer vision and graphics, aiming to generate realistic and controllable facial images. Traditional methods often struggle to capture fine-grained details and complex correspondences between facial regions. In this paper, we propose a novel correspondence attention mechanism that effectively models the spatial relationships and appearance variations across facial features. Our approach leverages attention to establish dense correspondences, enabling high-fidelity facial appearance synthesis with improved detail preservation and expression transfer. Extensive experiments demonstrate that our method outperforms existing techniques in both qualitative and quantitative evaluations, offering a powerful tool for applications such as facial reenactment, animation, and virtual avatar creation.",FALSE,
Unsupervised generative model for simulating post-operative double eyelid image,Wu R.; Liao S.; Dai P.; Han F.; Kui X.; Song X.,2025,Physical and Engineering Sciences in Medicine,10.1007/s13246-024-01488-9,"Simulating the outcome of double eyelid surgery is a challenging task. Many existing approaches rely on complex and time-consuming 3D digital models to reconstruct facial features for simulating facial plastic surgery outcomes. Some recent research performed a simple affine transformation approach based on 2D images to simulate double eyelid surgery outcomes. However, these methods have faced challenges, such as generating unnatural simulation outcomes and requiring manual removal of masks from images. To address these issues, we have pioneered the use of an unsupervised generative model to generate post-operative double eyelid images. Firstly, we created a dataset involving pre- and post-operative 2D images of double eyelid surgery. Secondly, we proposed a novel attention-class activation map module, which was embedded in a generative adversarial model to facilitate translating a single eyelid image to a double eyelid image. This innovative module enables the generator to selectively focus on the eyelid region that differentiates between the source and target domain, while enhancing the discriminator’s ability to discern differences between real and generated images. Finally, we have adjusted the adversarial consistency loss to guide the generator in preserving essential features from the source image and eliminating any masks when generating the double eyelid image. Experimental results have demonstrated the superiority of our approach over existing state-of-the-art techniques. © Australasian College of Physical Scientists and Engineers in Medicine 2024.",FALSE,
